row_index,case_id,question,unique_feature_index,is_multiple_choice
0,TCGA-LD-A74U,what is the patient's diagnosis?,0,True
1,TCGA-LD-A74U,what is the tumor size approximately?,1,True
2,TCGA-LD-A74U,what is the nuclear grade of the tumor?,2,True
3,TCGA-LD-A74U,is there any in-situ component in the tumor?,3,True
4,TCGA-AR-A1AI,what type of breast cancer does jeb have?,4,True
5,TCGA-AR-A1AI,what was the size of the mass in jeb's breast?,5,True
6,TCGA-AR-A1AI,what was the status of the surgical margins in jeb's case?,6,True
7,TCGA-AR-A1AI,"From the slide, can you infer the histological_type?",7,False
8,TCGA-AR-A1AI,what is the result of progesterone_receptor in the slide?,8,False
9,TCGA-AR-A1AI,what is her2 according to the slide?,9,False
10,TCGA-AR-A1AI,what is the result of vital_status in the slide?,10,False
11,TCGA-AR-A1AI,"From the slide, can you infer the survival time?",11,False
12,TCGA-B6-A0WZ,what is the size of the tumor?,12,True
13,TCGA-B6-A0WZ,what subtype of infiltrating ductal carcinoma is present?,13,True
14,TCGA-B6-A0WZ,is there evidence of multifocal tumor?,14,True
15,TCGA-B6-A0WZ,what are the preliminary results of the hormone receptor analysis?,15,True
16,TCGA-B6-A0WZ,Can you help the pathologist to predict histological_type?,16,False
17,TCGA-B6-A0WZ,please predict progesterone_receptor?,17,False
18,TCGA-B6-A0WZ,Can you help the pathologist to predict vital_status?,18,False
19,TCGA-B6-A0WZ,what is the result of survival time in the slide?,19,False
20,TCGA-BH-A5IZ,what is the size of the tumor?,12,True
21,TCGA-BH-A5IZ,what percentage of the tumor volume constitutes ductal carcinoma in situ (dcis)?,20,True
22,TCGA-BH-A5IZ,what is the nottingham score for the tumor?,21,True
23,TCGA-BH-A5IZ,what are the hormone receptor status of the tumor?,22,True
24,TCGA-BH-A5IZ,what type of non-neoplastic breast tissue changes were observed?,23,True
25,TCGA-BH-A5IZ,Can you help the pathologist to predict histological_type?,16,False
26,TCGA-BH-A5IZ,what is the result of progesterone_receptor in the slide?,8,False
27,TCGA-BH-A5IZ,Could you predict vital_status?,24,False
28,TCGA-BH-A5IZ,"From the slide, can you infer the survival time?",11,False
29,TCGA-BH-A0AZ,what is the tumor size range?,25,True
30,TCGA-BH-A0AZ,what is the nottingham score?,26,True
31,TCGA-BH-A0AZ,what percentage of tumor volume does ductal carcinoma in situ (dcis) represent?,27,True
32,TCGA-BH-A0AZ,what were the results of the immunohistochemical staining?,28,True
33,TCGA-BH-A0AZ,Can you help the pathologist to predict histological_type?,16,False
34,TCGA-BH-A0AZ,Could you predict progesterone_receptor?,29,False
35,TCGA-BH-A0AZ,please predict vital_status?,30,False
36,TCGA-BH-A0AZ,please predict survival time?,31,False
37,TCGA-EW-A1PF,what is the total size of the tumor?,32,True
38,TCGA-EW-A1PF,what is the grade of the invasive ductal carcinoma?,33,True
39,TCGA-EW-A1PF,what is the size of the comedo necrosis in the ductal carcinoma in situ?,34,True
40,TCGA-EW-A1PF,what is the pending immunohistochemistry for?,35,True
41,TCGA-EW-A1PF,please predict histological_type?,36,False
42,TCGA-EW-A1PF,Could you predict progesterone_receptor?,29,False
43,TCGA-EW-A1PF,Can you help the pathologist to predict vital_status?,18,False
44,TCGA-EW-A1PF,what is the result of survival time in the slide?,19,False
45,TCGA-BH-A0BV,what is the size of the infiltrating ductal carcinoma in the breast?,37,True
46,TCGA-BH-A0BV,what is the nottingham score of the infiltrating ductal carcinoma?,38,True
47,TCGA-BH-A0BV,what is the closest margin of resection for the infiltrating ductal carcinoma?,39,True
48,TCGA-BH-A0BV,what is the tumor type of the ductal carcinoma in situ?,40,True
49,TCGA-BH-A0BV,what is the pathological stage of the breast cancer?,41,True
50,TCGA-BH-A0BV,please predict histological_type?,36,False
51,TCGA-BH-A0BV,what is progesterone_receptor according to the slide?,42,False
52,TCGA-BH-A0BV,what is her2 according to the slide?,9,False
53,TCGA-BH-A0BV,what is vital_status according to the slide?,43,False
54,TCGA-BH-A0BV,please predict survival time?,31,False
55,TCGA-BH-A202,what was the size of the primary invasive carcinoma?,44,True
56,TCGA-BH-A202,what was the score for estrogen receptors?,45,True
57,TCGA-BH-A202,what type of carcinoma was found in the breast segmental mastectomy?,46,True
58,TCGA-BH-A202,was lymphovascular invasion identified?,47,True
