updated_at,processed,selected_total,answered,abstained,coverage,selective_accuracy,correct,errors,accuracy,accuracy_scorable,supported_accuracy,unsupported_accuracy,json_parse_failures,answers_outside_choices,multifield_incomplete,structured_overrides,case_id,task,task_match,last_correct,last_error
2026-08-11T16:59:07+08:00,1,390,1,0,1.0,0.0,0,0,0.0,0.0,,0.0,0,0,0,0,TCGA-LD-A74U,unrouted,direct_qwen_wsi,False,
2026-08-11T16:59:09+08:00,2,390,1,1,0.5,0.0,0,0,0.0,0.0,,0.0,0,0,0,0,TCGA-LD-A74U,unrouted,answerability_abstain,False,
2026-08-11T16:59:14+08:00,3,390,2,1,0.6666666666666666,0.5,1,0,0.3333333333333333,0.5,,0.5,0,0,0,0,TCGA-LD-A74U,unrouted,direct_qwen_wsi,True,
2026-08-11T16:59:19+08:00,4,390,3,1,0.75,0.3333333333333333,1,0,0.25,0.3333333333333333,,0.3333333333333333,0,0,0,0,TCGA-LD-A74U,unrouted,direct_qwen_wsi,False,
2026-08-11T16:59:26+08:00,5,390,4,1,0.8,0.25,1,0,0.2,0.25,,0.25,0,0,0,0,TCGA-AR-A1AI,unrouted,direct_qwen_wsi,False,
2026-08-11T16:59:28+08:00,6,390,4,2,0.6666666666666666,0.25,1,0,0.16666666666666666,0.25,,0.25,0,0,0,0,TCGA-AR-A1AI,unrouted,answerability_abstain,False,
2026-08-11T16:59:31+08:00,7,390,4,3,0.5714285714285714,0.25,1,0,0.14285714285714285,0.25,,0.25,0,0,0,0,TCGA-AR-A1AI,unrouted,answerability_abstain,False,
2026-08-11T16:59:33+08:00,8,390,4,4,0.5,0.25,1,0,0.125,0.25,,0.25,0,0,0,0,TCGA-B6-A0WZ,unrouted,answerability_abstain,False,
2026-08-11T16:59:42+08:00,9,390,5,4,0.5555555555555556,0.4,2,0,0.2222222222222222,0.4,,0.4,0,0,0,0,TCGA-B6-A0WZ,unrouted,direct_qwen_wsi,True,
2026-08-11T16:59:47+08:00,10,390,6,4,0.6,0.3333333333333333,2,0,0.2,0.3333333333333333,,0.3333333333333333,0,0,0,0,TCGA-B6-A0WZ,unrouted,direct_qwen_wsi,False,
