updated_at,processed,selected_total,answered,abstained,coverage,selective_accuracy,correct,errors,accuracy,accuracy_scorable,supported_accuracy,unsupported_accuracy,json_parse_failures,answers_outside_choices,multifield_incomplete,structured_overrides,case_id,task,task_match,last_correct,last_error
2026-08-13T19:02:15+08:00,1,390,0,1,0.0,,0,0,0.0,,,,0,0,0,0,TCGA-LD-A74U,unrouted,none,False,
2026-08-13T19:05:11+08:00,2,390,1,1,0.5,1.0,1,0,0.5,1.0,1.0,,0,0,0,0,TCGA-LD-A74U,histological_type_label,direct,True,
2026-08-13T19:08:25+08:00,3,390,2,1,0.6666666666666666,0.5,1,0,0.3333333333333333,0.5,0.5,,0,0,0,1,TCGA-LD-A74U,histologic_grade_label,direct,False,
2026-08-13T19:11:37+08:00,4,390,3,1,0.75,0.6666666666666666,2,0,0.5,0.6666666666666666,0.6666666666666666,,0,0,0,1,TCGA-LD-A74U,histological_type_label+dcis_binary+lcis_binary,direct,True,
2026-08-13T19:11:46+08:00,5,390,3,2,0.6,0.6666666666666666,2,0,0.4,0.6666666666666666,0.6666666666666666,,0,0,0,1,TCGA-AR-A1AI,unrouted,none,False,
2026-08-13T19:11:49+08:00,6,390,3,3,0.5,0.6666666666666666,2,0,0.3333333333333333,0.6666666666666666,0.6666666666666666,,0,0,0,1,TCGA-AR-A1AI,unrouted,none,False,
2026-08-13T19:14:09+08:00,7,390,4,3,0.5714285714285714,0.5,2,0,0.2857142857142857,0.5,0.5,,0,0,0,1,TCGA-AR-A1AI,histological_type_label,direct,False,
2026-08-13T19:14:12+08:00,8,390,4,4,0.5,0.5,2,0,0.25,0.5,0.5,,0,0,0,1,TCGA-B6-A0WZ,unrouted,none,False,
2026-08-13T19:14:30+08:00,9,390,4,5,0.4444444444444444,0.5,2,0,0.2222222222222222,0.5,0.5,,0,0,0,1,TCGA-B6-A0WZ,unrouted,none,False,
2026-08-13T19:16:53+08:00,10,390,5,5,0.5,0.6,3,0,0.3,0.6,0.6,,0,0,0,1,TCGA-B6-A0WZ,histological_type_label,direct,True,
2026-08-13T19:18:54+08:00,11,390,6,5,0.5454545454545454,0.5,3,0,0.2727272727272727,0.5,0.6,0.0,0,0,0,1,TCGA-B6-A0WZ,unrouted,none,False,
2026-08-13T19:18:56+08:00,12,390,6,6,0.5,0.5,3,0,0.25,0.5,0.6,0.0,0,0,0,1,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-13T19:18:59+08:00,13,390,6,7,0.46153846153846156,0.5,3,0,0.23076923076923078,0.5,0.6,0.0,0,0,0,1,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-13T19:19:02+08:00,14,390,6,8,0.42857142857142855,0.5,3,0,0.21428571428571427,0.5,0.6,0.0,0,0,0,1,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-13T19:22:44+08:00,15,390,7,8,0.4666666666666667,0.42857142857142855,3,0,0.2,0.42857142857142855,0.5,0.0,0,0,0,1,TCGA-BH-A5IZ,ER_status_label+PR_status_label+HER2_status_label,direct,False,
2026-08-13T19:25:29+08:00,16,390,8,8,0.5,0.375,3,0,0.1875,0.375,0.5,0.0,0,0,0,1,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-13T19:25:31+08:00,17,390,8,9,0.47058823529411764,0.375,3,0,0.17647058823529413,0.375,0.5,0.0,0,0,0,1,TCGA-BH-A0AZ,unrouted,none,False,
2026-08-13T19:25:35+08:00,18,390,8,10,0.4444444444444444,0.375,3,0,0.16666666666666666,0.375,0.5,0.0,0,0,0,1,TCGA-BH-A0AZ,unrouted,none,False,
2026-08-13T19:25:37+08:00,19,390,8,11,0.42105263157894735,0.375,3,0,0.15789473684210525,0.375,0.5,0.0,0,0,0,1,TCGA-BH-A0AZ,unrouted,none,False,
2026-08-13T19:25:40+08:00,20,390,8,12,0.4,0.375,3,0,0.15,0.375,0.5,0.0,0,0,0,1,TCGA-BH-A0AZ,unrouted,none,False,
2026-08-13T19:25:42+08:00,21,390,8,13,0.38095238095238093,0.375,3,0,0.14285714285714285,0.375,0.5,0.0,0,0,0,1,TCGA-EW-A1PF,unrouted,none,False,
2026-08-13T19:25:51+08:00,22,390,8,14,0.36363636363636365,0.375,3,0,0.13636363636363635,0.375,0.5,0.0,0,0,0,1,TCGA-EW-A1PF,unrouted,none,False,
2026-08-13T19:25:54+08:00,23,390,8,15,0.34782608695652173,0.375,3,0,0.13043478260869565,0.375,0.5,0.0,0,0,0,1,TCGA-EW-A1PF,unrouted,none,False,
2026-08-13T19:29:21+08:00,24,390,9,15,0.375,0.3333333333333333,3,0,0.125,0.3333333333333333,0.42857142857142855,0.0,0,0,0,2,TCGA-EW-A1PF,histologic_grade_label,direct,False,
2026-08-13T19:29:24+08:00,25,390,9,16,0.36,0.3333333333333333,3,0,0.12,0.3333333333333333,0.42857142857142855,0.0,0,0,0,2,TCGA-BH-A0BV,unrouted,none,False,
2026-08-13T19:29:26+08:00,26,390,9,17,0.34615384615384615,0.3333333333333333,3,0,0.11538461538461539,0.3333333333333333,0.42857142857142855,0.0,0,0,0,2,TCGA-BH-A0BV,unrouted,none,False,
2026-08-13T19:29:29+08:00,27,390,9,18,0.3333333333333333,0.3333333333333333,3,0,0.1111111111111111,0.3333333333333333,0.42857142857142855,0.0,0,0,0,2,TCGA-BH-A0BV,unrouted,none,False,
2026-08-13T19:29:39+08:00,28,390,9,19,0.32142857142857145,0.3333333333333333,3,0,0.10714285714285714,0.3333333333333333,0.42857142857142855,0.0,0,0,0,2,TCGA-BH-A0BV,unrouted,none,False,
2026-08-13T19:33:25+08:00,29,390,10,19,0.3448275862068966,0.3,3,0,0.10344827586206896,0.3,0.375,0.0,0,0,0,2,TCGA-BH-A0BV,histological_type_label,direct,False,
2026-08-13T19:33:27+08:00,30,390,10,20,0.3333333333333333,0.3,3,0,0.1,0.3,0.375,0.0,0,0,0,2,TCGA-BH-A202,unrouted,none,False,
2026-08-13T19:33:29+08:00,31,390,10,21,0.3225806451612903,0.3,3,0,0.0967741935483871,0.3,0.375,0.0,0,0,0,2,TCGA-BH-A202,unrouted,none,False,
2026-08-13T19:33:46+08:00,32,390,10,22,0.3125,0.3,3,0,0.09375,0.3,0.375,0.0,0,0,0,2,TCGA-BH-A202,unrouted,none,False,
2026-08-13T19:33:48+08:00,33,390,10,23,0.30303030303030304,0.3,3,0,0.09090909090909091,0.3,0.375,0.0,0,0,0,2,TCGA-BH-A202,unrouted,none,False,
2026-08-13T19:35:14+08:00,34,390,11,23,0.3235294117647059,0.36363636363636365,4,0,0.11764705882352941,0.36363636363636365,0.4444444444444444,0.0,0,0,0,2,TCGA-BH-A202,histological_type_label,direct,True,
2026-08-13T19:37:57+08:00,35,390,12,23,0.34285714285714286,0.3333333333333333,4,0,0.11428571428571428,0.3333333333333333,0.4,0.0,0,0,0,2,TCGA-BH-A202,lymphovascular_invasion_label,direct,False,
2026-08-13T19:38:07+08:00,36,390,12,24,0.3333333333333333,0.3333333333333333,4,0,0.1111111111111111,0.3333333333333333,0.4,0.0,0,0,0,2,TCGA-AR-A0U3,unrouted,none,False,
2026-08-13T19:38:10+08:00,37,390,12,25,0.32432432432432434,0.3333333333333333,4,0,0.10810810810810811,0.3333333333333333,0.4,0.0,0,0,0,2,TCGA-AR-A0U3,unrouted,none,False,
2026-08-13T19:38:12+08:00,38,390,12,26,0.3157894736842105,0.3333333333333333,4,0,0.10526315789473684,0.3333333333333333,0.4,0.0,0,0,0,2,TCGA-AR-A0U3,unrouted,none,False,
2026-08-13T19:41:57+08:00,39,390,13,26,0.3333333333333333,0.38461538461538464,5,0,0.1282051282051282,0.38461538461538464,0.45454545454545453,0.0,0,0,0,2,TCGA-AR-A0U3,histological_type_label,direct,True,
