updated_at,processed,selected_total,answered,abstained,coverage,selective_accuracy,correct,errors,accuracy,accuracy_scorable,supported_accuracy,unsupported_accuracy,json_parse_failures,answers_outside_choices,multifield_incomplete,structured_overrides,case_id,task,task_match,last_correct,last_error
2026-08-15T16:38:45+08:00,1,390,0,1,0.0,,0,0,0.0,,,,0,0,0,0,TCGA-LD-A74U,unrouted,none,False,
2026-08-15T16:40:12+08:00,2,390,1,1,0.5,0.0,0,0,0.0,0.0,0.0,,0,0,0,1,TCGA-LD-A74U,histological_type_label,direct,False,
2026-08-15T16:40:39+08:00,3,390,2,1,0.6666666666666666,0.0,0,0,0.0,0.0,0.0,,0,0,0,2,TCGA-LD-A74U,histologic_grade_label,direct,False,
2026-08-15T16:40:56+08:00,4,390,3,1,0.75,0.3333333333333333,1,0,0.25,0.3333333333333333,0.3333333333333333,,0,0,0,2,TCGA-LD-A74U,histological_type_label+dcis_binary+lcis_binary,direct,True,
2026-08-15T16:41:01+08:00,5,390,3,2,0.6,0.3333333333333333,1,0,0.2,0.3333333333333333,0.3333333333333333,,0,0,0,2,TCGA-AR-A1AI,unrouted,none,False,
2026-08-15T16:41:01+08:00,6,390,3,3,0.5,0.3333333333333333,1,0,0.16666666666666666,0.3333333333333333,0.3333333333333333,,0,0,0,2,TCGA-AR-A1AI,unrouted,none,False,
2026-08-15T16:42:11+08:00,7,390,4,3,0.5714285714285714,0.25,1,0,0.14285714285714285,0.25,0.25,,0,0,0,2,TCGA-AR-A1AI,histological_type_label,direct,False,
2026-08-15T16:42:11+08:00,8,390,4,4,0.5,0.25,1,0,0.125,0.25,0.25,,0,0,0,2,TCGA-B6-A0WZ,unrouted,none,False,
2026-08-15T16:43:31+08:00,9,390,5,4,0.5555555555555556,0.2,1,0,0.1111111111111111,0.2,0.2,,0,0,0,2,TCGA-B6-A0WZ,histological_type_label,direct,False,
2026-08-15T16:43:57+08:00,10,390,6,4,0.6,0.3333333333333333,2,0,0.2,0.3333333333333333,0.2,1.0,0,0,0,2,TCGA-B6-A0WZ,unrouted,none,True,
2026-08-15T16:44:53+08:00,11,390,7,4,0.6363636363636364,0.42857142857142855,3,0,0.2727272727272727,0.42857142857142855,0.3333333333333333,1.0,0,0,0,2,TCGA-B6-A0WZ,ER_status_label+PR_status_label,direct,True,
2026-08-15T16:44:53+08:00,12,390,7,5,0.5833333333333334,0.42857142857142855,3,0,0.25,0.42857142857142855,0.3333333333333333,1.0,0,0,0,2,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-15T16:44:53+08:00,13,390,7,6,0.5384615384615384,0.42857142857142855,3,0,0.23076923076923078,0.42857142857142855,0.3333333333333333,1.0,0,0,0,2,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-15T16:46:13+08:00,14,390,8,6,0.5714285714285714,0.375,3,0,0.21428571428571427,0.375,0.2857142857142857,1.0,0,0,0,2,TCGA-BH-A5IZ,nottingham_total_score,direct,False,
2026-08-15T16:46:58+08:00,15,390,9,6,0.6,0.3333333333333333,3,0,0.2,0.3333333333333333,0.25,1.0,0,0,0,2,TCGA-BH-A5IZ,ER_status_label+PR_status_label+HER2_status_label,direct,False,
2026-08-15T16:47:39+08:00,16,390,10,6,0.625,0.3,3,0,0.1875,0.3,0.25,0.5,0,0,0,2,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-15T16:47:39+08:00,17,390,10,7,0.5882352941176471,0.3,3,0,0.17647058823529413,0.3,0.25,0.5,0,0,0,2,TCGA-BH-A0AZ,unrouted,none,False,
2026-08-15T16:47:43+08:00,18,390,10,8,0.5555555555555556,0.3,3,0,0.16666666666666666,0.3,0.25,0.5,0,0,0,2,TCGA-BH-A0AZ,unrouted,none,False,
2026-08-15T16:49:02+08:00,19,390,11,8,0.5789473684210527,0.36363636363636365,4,0,0.21052631578947367,0.36363636363636365,0.3333333333333333,0.5,0,0,0,2,TCGA-BH-A0AZ,nottingham_total_score,direct,True,
2026-08-15T16:49:36+08:00,20,390,12,8,0.6,0.3333333333333333,4,0,0.2,0.3333333333333333,0.3,0.5,0,0,0,2,TCGA-BH-A0AZ,ER_status_label+PR_status_label,partial,False,
