字段,标签类型/任务分组,缺失/不可用数量,总样本数,缺失/不可用比例(%),缺失值分组,建议
病例ID（case_id）,基础ID,0,1097,0,0%缺失，最干净,保留，用于样本索引
癌种（cancer_type）,基础ID,0,1097,0,0%缺失，最干净,保留，用于样本索引
组织学类型标签（histological_type_label）,WSI形态学标签,0,1097,0,0%缺失，最干净,优先作为主任务
组织学类型中文（histological_type_zh）,WSI形态学标签,0,1097,0,0%缺失，最干净,优先作为主任务
是否浸润性癌（invasive_carcinoma_binary）,WSI形态学标签,0,1097,0,0%缺失，最干净,优先作为主任务
是否导管成分（ductal_binary）,WSI形态学标签,0,1097,0,0%缺失，最干净,优先作为主任务
是否小叶成分（lobular_binary）,WSI形态学标签,0,1097,0,0%缺失，最干净,优先作为主任务
DCIS导管原位癌（dcis_binary）,WSI形态学标签,0,1097,0,0%缺失，最干净,优先作为主任务
LCIS小叶原位癌（lcis_binary）,WSI形态学标签,0,1097,0,0%缺失，最干净,优先作为主任务
组织学分级标签（histologic_grade_label）,WSI形态学标签,246,1097,22.4,20–50%缺失，训练时筛样本,可保留，训练时需要筛样本
淋巴血管侵犯标签（lymphovascular_invasion_label）,WSI形态学标签,771,1097,70.3,>50%缺失，不建议主任务,保留备查，不建议作为主任务
神经侵犯标签（perineural_invasion_label）,WSI形态学标签,1068,1097,97.4,>50%缺失，不建议主任务,保留备查，不建议作为主任务
包膜外侵犯标签（extracapsular_extension_label）,WSI形态学标签,911,1097,83,>50%缺失，不建议主任务,保留备查，不建议作为主任务
坏死二值（necrosis_binary）,WSI形态学标签,0,1097,0,0%缺失，最干净,优先作为主任务
粉刺样坏死二值（comedonecrosis_binary）,WSI形态学标签,0,1097,0,0%缺失，最干净,优先作为主任务
微钙化二值（microcalcification_binary）,WSI形态学标签,0,1097,0,0%缺失，最干净,优先作为主任务
间质淋巴细胞提及（stroma_lymphocytes_binary）,WSI形态学标签,0,1097,0,0%缺失，最干净,优先作为主任务
Nottingham总分（nottingham_total_score）,WSI形态学标签,642,1097,58.5,>50%缺失，不建议主任务,保留备查，不建议作为主任务
腺管形成评分（tubule_score）,WSI形态学标签,969,1097,88.3,>50%缺失，不建议主任务,保留备查，不建议作为主任务
核多形性评分（nuclear_pleomorphism_score）,WSI形态学标签,1047,1097,95.4,>50%缺失，不建议主任务,保留备查，不建议作为主任务
有丝分裂评分（mitotic_score）,WSI形态学标签,873,1097,79.6,>50%缺失，不建议主任务,保留备查，不建议作为主任务
ER状态标签（ER_status_label）,IHC/分子表型预测标签,549,1097,50,>50%缺失，不建议主任务,保留备查，不建议作为主任务
ER阳性二值（ER_positive_binary）,IHC/分子表型预测标签,549,1097,50,>50%缺失，不建议主任务,保留备查，不建议作为主任务
ER百分比（ER_percent）,IHC/分子表型预测标签,970,1097,88.4,>50%缺失，不建议主任务,保留备查，不建议作为主任务
PR状态标签（PR_status_label）,IHC/分子表型预测标签,133,1097,12.1,5–20%缺失，可以做任务,可以作为任务，训练时过滤缺失样本
PR阳性二值（PR_positive_binary）,IHC/分子表型预测标签,133,1097,12.1,5–20%缺失，可以做任务,可以作为任务，训练时过滤缺失样本
PR百分比（PR_percent）,IHC/分子表型预测标签,998,1097,91,>50%缺失，不建议主任务,保留备查，不建议作为主任务
HER2状态标签（HER2_status_label）,IHC/分子表型预测标签,324,1097,29.5,20–50%缺失，训练时筛样本,可保留，训练时需要筛样本
HER2阳性二值（HER2_positive_binary）,IHC/分子表型预测标签,324,1097,29.5,20–50%缺失，训练时筛样本,可保留，训练时需要筛样本
HER2 IHC评分（HER2_ihc_score）,IHC/分子表型预测标签,470,1097,42.8,20–50%缺失，训练时筛样本,可保留，训练时需要筛样本
HER2扩增标签（HER2_amplification_label）,IHC/分子表型预测标签,987,1097,90,>50%缺失，不建议主任务,保留备查，不建议作为主任务
激素受体组合（hormone_receptor_combo）,IHC/分子表型预测标签,622,1097,56.7,>50%缺失，不建议主任务,保留备查，不建议作为主任务
Ki67百分比（Ki67_percent）,IHC/分子表型预测标签,1054,1097,96.1,>50%缺失，不建议主任务,保留备查，不建议作为主任务
AJCC病理分期（ajcc_pathologic_stage）,临床弱监督/预后辅助标签,24,1097,2.2,≤5%缺失，质量很好,保留，但作为临床弱监督标签；不要和纯形态标签混用
生存状态（vital_status）,生存/预后预测标签,0,1097,0,0%缺失，最干净,优先作为主任务
肿瘤状态（tumor_status）,生存/预后预测标签,36,1097,3.3,≤5%缺失，质量很好,可以作为任务，训练时过滤缺失样本
OS结局（OS）,生存/预后预测标签,0,1097,0,0%缺失，最干净,优先作为主任务
OS时间天（OS_time）,生存/预后预测标签,1,1097,0.1,≤5%缺失，质量很好,可以作为任务，训练时过滤缺失样本
DSS结局（DSS）,生存/预后预测标签,19,1097,1.7,≤5%缺失，质量很好,可以作为任务，训练时过滤缺失样本
DSS时间天（DSS_time）,生存/预后预测标签,1,1097,0.1,≤5%缺失，质量很好,可以作为任务，训练时过滤缺失样本
DFI结局（DFI）,生存/预后预测标签,144,1097,13.1,5–20%缺失，可以做任务,可以作为任务，训练时过滤缺失样本
DFI时间天（DFI_time）,生存/预后预测标签,145,1097,13.2,5–20%缺失，可以做任务,可以作为任务，训练时过滤缺失样本
PFI结局（PFI）,生存/预后预测标签,0,1097,0,0%缺失，最干净,优先作为主任务
PFI时间天（PFI_time）,生存/预后预测标签,1,1097,0.1,≤5%缺失，质量很好,可以作为任务，训练时过滤缺失样本
