updated_at,processed,selected_total,answered,abstained,coverage,selective_accuracy,correct,errors,accuracy,accuracy_scorable,supported_accuracy,unsupported_accuracy,json_parse_failures,answers_outside_choices,multifield_incomplete,structured_overrides,case_id,task,task_match,last_correct,last_error
2026-08-24T23:19:02+08:00,1,390,1,0,1.0,1.0,1,0,1.0,1.0,1.0,,0,0,0,0,TCGA-LD-A74U,histological_type_label,partial,True,
2026-08-24T23:19:57+08:00,2,390,2,0,1.0,0.5,1,0,0.5,0.5,1.0,0.0,0,0,0,0,TCGA-LD-A74U,unrouted,none,False,
2026-08-24T23:20:26+08:00,3,390,3,0,1.0,0.3333333333333333,1,0,0.3333333333333333,0.3333333333333333,0.5,0.0,0,0,0,0,TCGA-LD-A74U,histologic_grade_label,direct,False,
2026-08-24T23:21:32+08:00,4,390,4,0,1.0,0.25,1,0,0.25,0.25,0.3333333333333333,0.0,0,0,0,1,TCGA-LD-A74U,dcis_binary+lcis_binary,partial,False,
2026-08-24T23:23:01+08:00,5,390,5,0,1.0,0.2,1,0,0.2,0.2,0.25,0.0,0,0,0,1,TCGA-AR-A1AI,histological_type_label,partial,False,
2026-08-24T23:23:45+08:00,6,390,6,0,1.0,0.16666666666666666,1,0,0.16666666666666666,0.16666666666666666,0.25,0.0,0,0,0,1,TCGA-AR-A1AI,unrouted,none,False,
2026-08-24T23:24:50+08:00,7,390,7,0,1.0,0.14285714285714285,1,0,0.14285714285714285,0.14285714285714285,0.25,0.0,0,0,0,1,TCGA-AR-A1AI,unrouted,none,False,
2026-08-24T23:26:18+08:00,8,390,8,0,1.0,0.125,1,0,0.125,0.125,0.25,0.0,0,0,0,1,TCGA-B6-A0WZ,unrouted,none,False,
2026-08-24T23:26:51+08:00,9,390,9,0,1.0,0.1111111111111111,1,0,0.1111111111111111,0.1111111111111111,0.2,0.0,0,0,0,1,TCGA-B6-A0WZ,histological_type_label,partial,False,
2026-08-24T23:27:59+08:00,10,390,10,0,1.0,0.1,1,0,0.1,0.1,0.2,0.0,0,0,0,1,TCGA-B6-A0WZ,unrouted,none,False,
2026-08-24T23:28:26+08:00,11,390,11,0,1.0,0.18181818181818182,2,0,0.18181818181818182,0.18181818181818182,0.3333333333333333,0.0,0,0,0,1,TCGA-B6-A0WZ,ER_status_label+PR_status_label,direct,True,
2026-08-24T23:29:44+08:00,12,390,12,0,1.0,0.16666666666666666,2,0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0,0,0,1,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-24T23:30:52+08:00,13,390,13,0,1.0,0.15384615384615385,2,0,0.15384615384615385,0.15384615384615385,0.3333333333333333,0.0,0,0,0,1,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-24T23:31:19+08:00,14,390,14,0,1.0,0.14285714285714285,2,0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0,0,0,1,TCGA-BH-A5IZ,nottingham_total_score,partial,False,
2026-08-24T23:32:27+08:00,15,390,15,0,1.0,0.13333333333333333,2,0,0.13333333333333333,0.13333333333333333,0.25,0.0,0,0,0,1,TCGA-BH-A5IZ,ER_status_label+PR_status_label+HER2_status_label,direct,False,
2026-08-24T23:33:29+08:00,16,390,16,0,1.0,0.125,2,0,0.125,0.125,0.25,0.0,0,0,0,1,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-24T23:34:30+08:00,17,390,17,0,1.0,0.17647058823529413,3,0,0.17647058823529413,0.17647058823529413,0.25,0.1111111111111111,0,0,0,1,TCGA-BH-A0AZ,unrouted,none,True,
2026-08-24T23:35:03+08:00,18,390,18,0,1.0,0.2222222222222222,4,0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.1111111111111111,0,0,0,1,TCGA-BH-A0AZ,nottingham_total_score,partial,True,
2026-08-24T23:35:14+08:00,19,390,19,0,1.0,0.21052631578947367,4,0,0.21052631578947367,0.21052631578947367,0.3333333333333333,0.1,0,0,0,1,TCGA-BH-A0AZ,unrouted,none,False,
2026-08-24T23:35:39+08:00,20,390,20,0,1.0,0.2,4,0,0.2,0.2,0.3,0.1,0,0,0,1,TCGA-BH-A0AZ,ER_status_label+PR_status_label,partial,False,
2026-08-24T23:36:56+08:00,21,390,21,0,1.0,0.19047619047619047,4,0,0.19047619047619047,0.19047619047619047,0.3,0.09090909090909091,0,0,0,1,TCGA-EW-A1PF,unrouted,none,False,
2026-08-24T23:37:20+08:00,22,390,22,0,1.0,0.22727272727272727,5,0,0.22727272727272727,0.22727272727272727,0.36363636363636365,0.09090909090909091,0,0,0,1,TCGA-EW-A1PF,histologic_grade_label,partial,True,
2026-08-24T23:37:42+08:00,23,390,23,0,1.0,0.2608695652173913,6,0,0.2608695652173913,0.2608695652173913,0.36363636363636365,0.16666666666666666,0,0,0,1,TCGA-EW-A1PF,unrouted,none,True,
2026-08-24T23:37:52+08:00,24,390,24,0,1.0,0.25,6,0,0.25,0.25,0.36363636363636365,0.15384615384615385,0,0,0,1,TCGA-EW-A1PF,unrouted,none,False,
2026-08-24T23:39:09+08:00,25,390,25,0,1.0,0.24,6,0,0.24,0.24,0.36363636363636365,0.14285714285714285,0,0,0,1,TCGA-BH-A0BV,unrouted,none,False,
2026-08-24T23:39:39+08:00,26,390,26,0,1.0,0.23076923076923078,6,0,0.23076923076923078,0.23076923076923078,0.3333333333333333,0.14285714285714285,0,0,0,1,TCGA-BH-A0BV,histologic_grade_label+mitotic_score+necrosis_binary,partial,False,
2026-08-24T23:40:18+08:00,27,390,27,0,1.0,0.2222222222222222,6,0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.13333333333333333,0,0,0,1,TCGA-BH-A0BV,unrouted,none,False,
2026-08-24T23:41:17+08:00,28,390,28,0,1.0,0.25,7,0,0.25,0.25,0.38461538461538464,0.13333333333333333,0,0,0,2,TCGA-BH-A0BV,histological_type_label,partial,True,
