updated_at,processed,selected_total,correct,errors,accuracy,accuracy_scorable,supported_accuracy,unsupported_accuracy,json_parse_failures,answers_outside_choices,multifield_incomplete,structured_overrides,case_id,task,task_match,last_correct,last_error
2026-08-10T21:32:29+08:00,1,390,1,0,1.0,1.0,1.0,,0,0,0,0,TCGA-LD-A74U,histological_type_label,direct,True,
2026-08-10T21:32:36+08:00,2,390,1,0,0.5,0.5,1.0,0.0,0,0,0,0,TCGA-LD-A74U,unrouted,none,False,
2026-08-10T21:33:01+08:00,3,390,1,0,0.3333333333333333,0.3333333333333333,0.5,0.0,0,0,0,1,TCGA-LD-A74U,histologic_grade_label,direct,False,
2026-08-10T21:33:24+08:00,4,390,2,0,0.5,0.5,0.6666666666666666,0.0,0,0,0,1,TCGA-LD-A74U,histological_type_label+dcis_binary+lcis_binary,direct,True,
2026-08-10T21:34:02+08:00,5,390,3,0,0.6,0.6,0.75,0.0,0,0,0,2,TCGA-AR-A1AI,histological_type_label,direct,True,
2026-08-10T21:34:09+08:00,6,390,3,0,0.5,0.5,0.75,0.0,0,0,0,2,TCGA-AR-A1AI,unrouted,none,False,
2026-08-10T21:34:16+08:00,7,390,3,0,0.42857142857142855,0.42857142857142855,0.75,0.0,0,0,0,2,TCGA-AR-A1AI,unrouted,none,False,
2026-08-10T21:34:25+08:00,8,390,3,0,0.375,0.375,0.75,0.0,0,0,0,2,TCGA-B6-A0WZ,unrouted,none,False,
2026-08-10T21:35:05+08:00,9,390,3,0,0.3333333333333333,0.3333333333333333,0.6,0.0,0,0,0,2,TCGA-B6-A0WZ,histological_type_label,direct,False,
2026-08-10T21:35:13+08:00,10,390,3,0,0.3,0.3,0.6,0.0,0,0,0,2,TCGA-B6-A0WZ,unrouted,none,False,
2026-08-10T21:35:48+08:00,11,390,4,0,0.36363636363636365,0.36363636363636365,0.6666666666666666,0.0,0,0,0,2,TCGA-B6-A0WZ,ER_status_label+PR_status_label,direct,True,
2026-08-10T21:35:57+08:00,12,390,4,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0,0,0,2,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-10T21:37:06+08:00,13,390,4,0,0.3076923076923077,0.3076923076923077,0.5714285714285714,0.0,1,0,0,2,TCGA-BH-A5IZ,histological_type_label,partial,False,
2026-08-10T21:37:38+08:00,14,390,4,0,0.2857142857142857,0.2857142857142857,0.5,0.0,1,0,0,2,TCGA-BH-A5IZ,nottingham_total_score,direct,False,
2026-08-10T21:38:14+08:00,15,390,4,0,0.26666666666666666,0.26666666666666666,0.4444444444444444,0.0,1,0,0,2,TCGA-BH-A5IZ,ER_status_label+PR_status_label+HER2_status_label,direct,False,
2026-08-10T21:38:34+08:00,16,390,4,0,0.25,0.25,0.4444444444444444,0.0,1,0,0,2,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-10T21:38:43+08:00,17,390,5,0,0.29411764705882354,0.29411764705882354,0.4444444444444444,0.125,1,0,0,2,TCGA-BH-A0AZ,unrouted,none,True,
2026-08-10T21:39:15+08:00,18,390,6,0,0.3333333333333333,0.3333333333333333,0.5,0.125,1,0,0,2,TCGA-BH-A0AZ,nottingham_total_score,direct,True,
2026-08-10T21:39:24+08:00,19,390,6,0,0.3157894736842105,0.3157894736842105,0.5,0.1111111111111111,1,0,0,2,TCGA-BH-A0AZ,unrouted,none,False,
2026-08-10T21:39:53+08:00,20,390,6,0,0.3,0.3,0.45454545454545453,0.1111111111111111,1,0,0,2,TCGA-BH-A0AZ,ER_status_label+PR_status_label,partial,False,
2026-08-10T21:40:01+08:00,21,390,6,0,0.2857142857142857,0.2857142857142857,0.45454545454545453,0.1,1,0,0,2,TCGA-EW-A1PF,unrouted,none,False,
2026-08-10T21:40:29+08:00,22,390,6,0,0.2727272727272727,0.2727272727272727,0.4166666666666667,0.1,1,0,0,3,TCGA-EW-A1PF,histologic_grade_label,direct,False,
2026-08-10T21:40:37+08:00,23,390,6,0,0.2608695652173913,0.2608695652173913,0.4166666666666667,0.09090909090909091,1,0,0,3,TCGA-EW-A1PF,unrouted,none,False,
2026-08-10T21:40:46+08:00,24,390,6,0,0.25,0.25,0.4166666666666667,0.08333333333333333,1,0,0,3,TCGA-EW-A1PF,unrouted,none,False,
2026-08-10T21:40:54+08:00,25,390,6,0,0.24,0.24,0.4166666666666667,0.07692307692307693,1,0,0,3,TCGA-BH-A0BV,unrouted,none,False,
2026-08-10T21:41:29+08:00,26,390,7,0,0.2692307692307692,0.2692307692307692,0.46153846153846156,0.07692307692307693,1,0,0,3,TCGA-BH-A0BV,nottingham_total_score,partial,True,
2026-08-10T21:41:37+08:00,27,390,7,0,0.25925925925925924,0.25925925925925924,0.46153846153846156,0.07142857142857142,1,0,0,3,TCGA-BH-A0BV,unrouted,none,False,
2026-08-10T21:42:14+08:00,28,390,8,0,0.2857142857142857,0.2857142857142857,0.5,0.07142857142857142,1,0,0,4,TCGA-BH-A0BV,histological_type_label,direct,True,
2026-08-10T21:42:43+08:00,29,390,8,0,0.27586206896551724,0.27586206896551724,0.4666666666666667,0.07142857142857142,1,0,0,4,TCGA-BH-A0BV,ajcc_pathologic_stage,direct,False,
2026-08-10T21:42:52+08:00,30,390,9,0,0.3,0.3,0.4666666666666667,0.13333333333333333,1,0,0,4,TCGA-BH-A202,unrouted,none,True,
2026-08-10T21:43:21+08:00,31,390,9,0,0.2903225806451613,0.2903225806451613,0.4375,0.13333333333333333,1,0,0,4,TCGA-BH-A202,ER_status_label,partial,False,
2026-08-10T21:43:51+08:00,32,390,10,0,0.3125,0.3125,0.47058823529411764,0.13333333333333333,1,0,0,4,TCGA-BH-A202,histological_type_label,direct,True,
2026-08-10T21:44:23+08:00,33,390,10,0,0.30303030303030304,0.30303030303030304,0.4444444444444444,0.13333333333333333,1,0,0,4,TCGA-BH-A202,lymphovascular_invasion_label,direct,False,
2026-08-10T21:44:53+08:00,34,390,11,0,0.3235294117647059,0.3235294117647059,0.47368421052631576,0.13333333333333333,1,0,0,4,TCGA-BH-A202,ajcc_pathologic_stage,direct,True,
2026-08-10T21:45:00+08:00,35,390,12,0,0.34285714285714286,0.34285714285714286,0.47368421052631576,0.1875,1,0,0,4,TCGA-BH-A202,unrouted,none,True,
2026-08-10T21:45:37+08:00,36,390,13,0,0.3611111111111111,0.3611111111111111,0.5,0.1875,1,0,0,4,TCGA-AR-A0U3,histological_type_label,direct,True,
2026-08-10T21:45:44+08:00,37,390,14,0,0.3783783783783784,0.3783783783783784,0.5,0.23529411764705882,1,0,0,4,TCGA-AR-A0U3,unrouted,none,True,
