updated_at,processed,selected_total,answered,abstained,coverage,selective_accuracy,correct,errors,accuracy,accuracy_scorable,supported_accuracy,unsupported_accuracy,json_parse_failures,answers_outside_choices,multifield_incomplete,structured_overrides,case_id,task,task_match,last_correct,last_error
2026-08-18T20:33:08+08:00,1,390,0,1,0.0,,0,0,0.0,,,,0,0,0,0,TCGA-LD-A74U,unrouted,none,False,
2026-08-18T20:34:31+08:00,2,390,1,1,0.5,1.0,1,0,0.5,1.0,1.0,,0,0,0,0,TCGA-LD-A74U,histological_type_label,partial,True,
2026-08-18T20:34:56+08:00,3,390,2,1,0.6666666666666666,0.5,1,0,0.3333333333333333,0.5,0.5,,0,0,0,0,TCGA-LD-A74U,histologic_grade_label,direct,False,
2026-08-18T20:35:58+08:00,4,390,3,1,0.75,0.6666666666666666,2,0,0.5,0.6666666666666666,0.6666666666666666,,0,0,0,0,TCGA-LD-A74U,histological_type_label+dcis_binary+lcis_binary,partial,True,
2026-08-18T20:36:03+08:00,5,390,3,2,0.6,0.6666666666666666,2,0,0.4,0.6666666666666666,0.6666666666666666,,0,0,0,0,TCGA-AR-A1AI,unrouted,none,False,
2026-08-18T20:36:03+08:00,6,390,3,3,0.5,0.6666666666666666,2,0,0.3333333333333333,0.6666666666666666,0.6666666666666666,,0,0,0,0,TCGA-AR-A1AI,unrouted,none,False,
2026-08-18T20:37:15+08:00,7,390,4,3,0.5714285714285714,0.5,2,0,0.2857142857142857,0.5,0.5,,0,0,0,0,TCGA-AR-A1AI,histological_type_label,partial,False,
2026-08-18T20:37:15+08:00,8,390,4,4,0.5,0.5,2,0,0.25,0.5,0.5,,0,0,0,0,TCGA-B6-A0WZ,unrouted,none,False,
2026-08-18T20:38:08+08:00,9,390,5,4,0.5555555555555556,0.6,3,0,0.3333333333333333,0.6,0.6,,0,0,0,0,TCGA-B6-A0WZ,histological_type_label,partial,True,
2026-08-18T20:39:05+08:00,10,390,6,4,0.6,0.5,3,0,0.3,0.5,0.6,0.0,0,0,0,0,TCGA-B6-A0WZ,unrouted,none,False,
2026-08-18T20:39:32+08:00,11,390,7,4,0.6363636363636364,0.5714285714285714,4,0,0.36363636363636365,0.5714285714285714,0.6666666666666666,0.0,0,0,0,0,TCGA-B6-A0WZ,ER_status_label+PR_status_label,direct,True,
2026-08-18T20:39:32+08:00,12,390,7,5,0.5833333333333334,0.5714285714285714,4,0,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.0,0,0,0,0,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-18T20:39:32+08:00,13,390,7,6,0.5384615384615384,0.5714285714285714,4,0,0.3076923076923077,0.5714285714285714,0.6666666666666666,0.0,0,0,0,0,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-18T20:40:21+08:00,14,390,8,6,0.5714285714285714,0.5,4,0,0.2857142857142857,0.5,0.5714285714285714,0.0,0,0,0,0,TCGA-BH-A5IZ,nottingham_total_score,partial,False,
2026-08-18T20:41:27+08:00,15,390,9,6,0.6,0.4444444444444444,4,0,0.26666666666666666,0.4444444444444444,0.5,0.0,0,0,0,0,TCGA-BH-A5IZ,ER_status_label+PR_status_label+HER2_status_label,direct,False,
2026-08-18T20:42:28+08:00,16,390,10,6,0.625,0.4,4,0,0.25,0.4,0.5,0.0,0,0,0,0,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-18T20:42:29+08:00,17,390,10,7,0.5882352941176471,0.4,4,0,0.23529411764705882,0.4,0.5,0.0,0,0,0,0,TCGA-BH-A0AZ,unrouted,none,False,
2026-08-18T20:42:33+08:00,18,390,10,8,0.5555555555555556,0.4,4,0,0.2222222222222222,0.4,0.5,0.0,0,0,0,0,TCGA-BH-A0AZ,unrouted,none,False,
2026-08-18T20:43:59+08:00,19,390,11,8,0.5789473684210527,0.45454545454545453,5,0,0.2631578947368421,0.45454545454545453,0.5555555555555556,0.0,0,0,0,0,TCGA-BH-A0AZ,nottingham_total_score,partial,True,
2026-08-18T20:44:26+08:00,20,390,12,8,0.6,0.4166666666666667,5,0,0.25,0.4166666666666667,0.5,0.0,0,0,0,0,TCGA-BH-A0AZ,ER_status_label+PR_status_label,partial,False,
2026-08-18T20:44:26+08:00,21,390,12,9,0.5714285714285714,0.4166666666666667,5,0,0.23809523809523808,0.4166666666666667,0.5,0.0,0,0,0,0,TCGA-EW-A1PF,unrouted,none,False,
2026-08-18T20:44:31+08:00,22,390,12,10,0.5454545454545454,0.4166666666666667,5,0,0.22727272727272727,0.4166666666666667,0.5,0.0,0,0,0,0,TCGA-EW-A1PF,unrouted,none,False,
2026-08-18T20:44:31+08:00,23,390,12,11,0.5217391304347826,0.4166666666666667,5,0,0.21739130434782608,0.4166666666666667,0.5,0.0,0,0,0,0,TCGA-EW-A1PF,unrouted,none,False,
2026-08-18T20:44:59+08:00,24,390,13,11,0.5416666666666666,0.46153846153846156,6,0,0.25,0.46153846153846156,0.5454545454545454,0.0,0,0,0,0,TCGA-EW-A1PF,histologic_grade_label,partial,True,
2026-08-18T20:44:59+08:00,25,390,13,12,0.52,0.46153846153846156,6,0,0.24,0.46153846153846156,0.5454545454545454,0.0,0,0,0,0,TCGA-BH-A0BV,unrouted,none,False,
2026-08-18T20:45:06+08:00,26,390,13,13,0.5,0.46153846153846156,6,0,0.23076923076923078,0.46153846153846156,0.5454545454545454,0.0,0,0,0,0,TCGA-BH-A0BV,unrouted,none,False,
2026-08-18T20:45:11+08:00,27,390,13,14,0.48148148148148145,0.46153846153846156,6,0,0.2222222222222222,0.46153846153846156,0.5454545454545454,0.0,0,0,0,0,TCGA-BH-A0BV,unrouted,none,False,
2026-08-18T20:46:23+08:00,28,390,14,14,0.5,0.42857142857142855,6,0,0.21428571428571427,0.42857142857142855,0.5,0.0,0,0,0,0,TCGA-BH-A0BV,nottingham_total_score,partial,False,
2026-08-18T20:47:29+08:00,29,390,15,14,0.5172413793103449,0.4666666666666667,7,0,0.2413793103448276,0.4666666666666667,0.5384615384615384,0.0,0,0,0,1,TCGA-BH-A0BV,histological_type_label,partial,True,
2026-08-18T20:47:29+08:00,30,390,15,15,0.5,0.4666666666666667,7,0,0.23333333333333334,0.4666666666666667,0.5384615384615384,0.0,0,0,0,1,TCGA-BH-A202,unrouted,none,False,
