phenotype_label,n_related_pathways,related_pathways
histological_type_label,8,ESR-mediated signaling (Reactome R-HSA-8939211) | Signaling by ERBB2 (Reactome R-HSA-1227986) | Signaling by EGFR (Reactome R-HSA-177929) | Adherens junctions interactions (Reactome R-HSA-418990) | Tight junction interactions (Reactome R-HSA-420029) | Signaling by TGF-beta Receptor Complex (Reactome R-HSA-170834) | Collagen formation (Reactome R-HSA-1474290) | Signaling by BMP (Reactome R-HSA-201451)
invasive_carcinoma_binary,7,Signaling by EGFR (Reactome R-HSA-177929) | Adherens junctions interactions (Reactome R-HSA-418990) | Tight junction interactions (Reactome R-HSA-420029) | Signaling by TGF-beta Receptor Complex (Reactome R-HSA-170834) | Degradation of the extracellular matrix (Reactome R-HSA-1474228) | Integrin cell surface interactions (Reactome R-HSA-216083) | Collagen formation (Reactome R-HSA-1474290)
ductal_binary,3,Signaling by EGFR (Reactome R-HSA-177929) | Adherens junctions interactions (Reactome R-HSA-418990) | Tight junction interactions (Reactome R-HSA-420029)
lobular_binary,2,Adherens junctions interactions (Reactome R-HSA-418990) | Tight junction interactions (Reactome R-HSA-420029)
dcis_binary,2,Adherens junctions interactions (Reactome R-HSA-418990) | Tight junction interactions (Reactome R-HSA-420029)
lcis_binary,2,Adherens junctions interactions (Reactome R-HSA-418990) | Tight junction interactions (Reactome R-HSA-420029)
histologic_grade_label,10,Signaling by ERBB2 (Reactome R-HSA-1227986) | Signaling by EGFR (Reactome R-HSA-177929) | PIP3 activates AKT signaling (Reactome R-HSA-1257604) | G2/M Transition (Reactome R-HSA-69275) | Mitotic Spindle Checkpoint (Reactome R-HSA-69618) | p53-Dependent G1 DNA Damage Response (Reactome R-HSA-69563) | DNA Double-Strand Break Repair (Reactome R-HSA-5693532) | Signaling by TGF-beta Receptor Complex (Reactome R-HSA-170834) | Cellular response to hypoxia (Reactome R-HSA-1234174) | RIPK1-mediated regulated necrosis (Reactome R-HSA-5213460)
lymphovascular_invasion_label,3,Signaling by TGF-beta Receptor Complex (Reactome R-HSA-170834) | Degradation of the extracellular matrix (Reactome R-HSA-1474228) | Integrin cell surface interactions (Reactome R-HSA-216083)
perineural_invasion_label,3,Signaling by TGF-beta Receptor Complex (Reactome R-HSA-170834) | Degradation of the extracellular matrix (Reactome R-HSA-1474228) | Integrin cell surface interactions (Reactome R-HSA-216083)
extracapsular_extension_label,3,Signaling by TGF-beta Receptor Complex (Reactome R-HSA-170834) | Degradation of the extracellular matrix (Reactome R-HSA-1474228) | Integrin cell surface interactions (Reactome R-HSA-216083)
necrosis_binary,2,Cellular response to hypoxia (Reactome R-HSA-1234174) | RIPK1-mediated regulated necrosis (Reactome R-HSA-5213460)
comedonecrosis_binary,2,Cellular response to hypoxia (Reactome R-HSA-1234174) | RIPK1-mediated regulated necrosis (Reactome R-HSA-5213460)
microcalcification_binary,1,Signaling by BMP (Reactome R-HSA-201451)
stroma_lymphocytes_binary,4,TCR signaling (Reactome R-HSA-202403) | Signaling by the B Cell Receptor (BCR) (Reactome R-HSA-983705) | Interferon gamma signaling (Reactome R-HSA-877300) | Co-inhibition by PD-1 (Reactome R-HSA-389948)
nottingham_total_score,5,PIP3 activates AKT signaling (Reactome R-HSA-1257604) | G2/M Transition (Reactome R-HSA-69275) | Mitotic Spindle Checkpoint (Reactome R-HSA-69618) | p53-Dependent G1 DNA Damage Response (Reactome R-HSA-69563) | Cellular response to hypoxia (Reactome R-HSA-1234174)
tubule_score,5,Adherens junctions interactions (Reactome R-HSA-418990) | Tight junction interactions (Reactome R-HSA-420029) | Integrin cell surface interactions (Reactome R-HSA-216083) | Collagen formation (Reactome R-HSA-1474290) | Signaling by BMP (Reactome R-HSA-201451)
nuclear_pleomorphism_score,5,PIP3 activates AKT signaling (Reactome R-HSA-1257604) | G2/M Transition (Reactome R-HSA-69275) | Mitotic Spindle Checkpoint (Reactome R-HSA-69618) | p53-Dependent G1 DNA Damage Response (Reactome R-HSA-69563) | DNA Double-Strand Break Repair (Reactome R-HSA-5693532)
mitotic_score,3,G2/M Transition (Reactome R-HSA-69275) | Mitotic Spindle Checkpoint (Reactome R-HSA-69618) | p53-Dependent G1 DNA Damage Response (Reactome R-HSA-69563)
ER_status_label,2,ESR-mediated signaling (Reactome R-HSA-8939211) | Nuclear Receptor transcription pathway (Reactome R-HSA-383280)
ER_positive_binary,2,ESR-mediated signaling (Reactome R-HSA-8939211) | Nuclear Receptor transcription pathway (Reactome R-HSA-383280)
ER_percent,2,ESR-mediated signaling (Reactome R-HSA-8939211) | Nuclear Receptor transcription pathway (Reactome R-HSA-383280)
PR_status_label,2,ESR-mediated signaling (Reactome R-HSA-8939211) | Nuclear Receptor transcription pathway (Reactome R-HSA-383280)
PR_positive_binary,2,ESR-mediated signaling (Reactome R-HSA-8939211) | Nuclear Receptor transcription pathway (Reactome R-HSA-383280)
PR_percent,2,ESR-mediated signaling (Reactome R-HSA-8939211) | Nuclear Receptor transcription pathway (Reactome R-HSA-383280)
HER2_status_label,1,Signaling by ERBB2 (Reactome R-HSA-1227986)
HER2_positive_binary,1,Signaling by ERBB2 (Reactome R-HSA-1227986)
HER2_ihc_score,1,Signaling by ERBB2 (Reactome R-HSA-1227986)
HER2_amplification_label,1,Signaling by ERBB2 (Reactome R-HSA-1227986)
hormone_receptor_combo,2,ESR-mediated signaling (Reactome R-HSA-8939211) | Nuclear Receptor transcription pathway (Reactome R-HSA-383280)
Ki67_percent,2,G2/M Transition (Reactome R-HSA-69275) | Mitotic Spindle Checkpoint (Reactome R-HSA-69618)
