case_id,question,choices,route,task_match,selected_prototype_ids,target_phenotypes,phenotype_relevance_score,reason,use_pathology_agent
TCGA-LD-A74U,what is the patient's diagnosis?,"[""ductal carcinoma in situ"", ""invasive ductal carcinoma"", ""invasive lobular carcinoma"", ""metastatic carcinoma""]",phenotype_direct,direct,"[""P001""]","[""histological_type_label""]",1.0,"The question asks for the specific histological diagnosis (DCIS, invasive ductal, etc.), which maps directly to the 'histological_type_label' field covered by prototype P001.",True
TCGA-LD-A74U,what is the tumor size approximately?,"[""50mm"", ""60mm"", ""70mm"", ""80mm""]",nonvisual,none,[],[],0.0,Tumor size is a macroscopic clinical measurement not visible on H&E slides or derivable from the provided WSI morphology prototypes.,False
TCGA-LD-A74U,what is the nuclear grade of the tumor?,"[""low"", ""intermediate"", ""high"", ""not mentioned""]",phenotype_direct,direct,"[""P006"", ""P011"", ""P012""]","[""histologic_grade_label"", ""nottingham_total_score"", ""mitotic_score""]",1.0,"The question asks for nuclear grade, which is directly covered by the histologic_grade_label prototype (P006) and supported by the component scores in Nottingham_total_score (P011) and mitotic_score (P012).",True
TCGA-LD-A74U,is there any in-situ component in the tumor?,"[""yes"", ""no"", ""not mentioned"", ""cannot be determined""]",phenotype_direct,direct,"[""P001"", ""P004"", ""P005""]","[""histological_type_label"", ""dcis_binary"", ""lcis_binary""]",0.95,"The question asks for the presence of an in-situ component, which is directly covered by the histological type label (P001) distinguishing in situ from invasive types, and specifically by the binary flags for DCIS (P004) and LCIS (P005).",True
TCGA-AR-A1AI,what type of breast cancer does jeb have?,"[""medullary carcinoma"", ""invasive ductal carcinoma"", ""lobular carcinoma"", ""inflammatory breast cancer.""]",phenotype_direct,direct,"[""P001""]","[""histological_type_label""]",1.0,"The question asks for the specific histological type of breast cancer, which is directly covered by the 'histological_type_label' prototype (P001) that lists all relevant carcinoma types including medullary, ductal, and lobular.",True
TCGA-AR-A1AI,what was the size of the mass in jeb's breast?,"[""3.5 x 2.0 x 2.0 cm"", ""4.5 x 3.0 x 2.0 cm"", ""4.0 x 2.5 x 2.0 cm"", ""5.0 x 2.5 x 2.5 cm.""]",nonvisual,none,[],[],0.0,"The question asks for the macroscopic size of the mass, which is a clinical measurement found in the pathology report or gross description, not a feature visible or predictable from H&E morphology or WSI-derived phenotype prototypes.",False
TCGA-AR-A1AI,what was the status of the surgical margins in jeb's case?,"[""positive, indicating residual cancer."", ""negative, indicating removal of all cancer."", ""unclear, further testing is neede"", ""d: positive, indicating the presence of cancer in the margins.""]",nonvisual,none,[],[],0.0,"Surgical margin status is a clinical report fact regarding the extent of tissue removal and presence of cancer at the cut edge, which cannot be determined from WSI-derived histological morphology or molecular predictions.",False
TCGA-B6-A0WZ,what is the size of the tumor?,"[""1.4 cm"", ""2.8 cm"", ""3 cm"", ""3.2 cm""]",nonvisual,none,[],[],0.0,Tumor size is a macroscopic clinical measurement not derivable from H&E morphology or WSI-derived phenotype prototypes.,False
TCGA-B6-A0WZ,what subtype of infiltrating ductal carcinoma is present?,"[""lobular cacinoma"", ""tubulolobular subtype"", ""mucinous carcinoma"", ""papillary carcinoma""]",phenotype_direct,direct,"[""P001""]","[""histological_type_label""]",0.95,"The question asks for the specific histological subtype of infiltrating ductal carcinoma, which is directly covered by the 'histological_type_label' prototype (P001) that includes subtypes like tubulolobular, mucinous, and papillary.",True
TCGA-B6-A0WZ,is there evidence of multifocal tumor?,"[""yes"", ""no"", ""cannot determine"", ""not mentioned in the slide""]",morphology_only,none,[],[],0.0,"Multifocality is a spatial distribution feature (multiple distinct tumor foci) not covered by the provided catalog prototypes which focus on histologic type, grade, or binary markers; this requires direct visual assessment of the slide's architecture and growth pattern.",True
TCGA-B6-A0WZ,what are the preliminary results of the hormone receptor analysis?,"[""positive for estrogen receptors"", ""negative for estrogen receptors"", ""positive for progesterone receptors"", ""negative for progesterone receptors""]",nonvisual,none,[],[],0.0,"The question explicitly asks for the 'preliminary results of the hormone receptor analysis', which refers to specific clinical assay findings (ER/PR status) rather than WSI-derived morphological predictions or direct visual features on H&E.",False
TCGA-BH-A5IZ,what is the size of the tumor?,"[""22 cm"", ""9/9"", ""grade 3"", ""negative for invasive carcinoma""]",nonvisual,none,[],[],0.0,Tumor size is a macroscopic clinical measurement not visible on H&E slides or derivable from the provided WSI morphology prototypes.,False
TCGA-BH-A5IZ,what percentage of the tumor volume constitutes ductal carcinoma in situ (dcis)?,"[""less than 5%"", ""22 cm"", ""grade 3"", ""focal atypical ductal hyperplasia""]",nonvisual,none,[],[],0.0,"The question asks for a specific quantitative percentage of tumor volume, which is a measurement derived from clinical reports or macroscopic assessment, not a feature directly visible or predictable from H&E morphology or WSI-derived phenotype prototypes.",False
TCGA-BH-A5IZ,what is the nottingham score for the tumor?,"[""9/9"", ""22 cm"", ""positive for estrogen receptors"", ""negative for invasive carcinoma""]",phenotype_direct,direct,"[""P011""]","[""nottingham_total_score""]",1.0,"The question explicitly asks for the Nottingham score, which corresponds exactly to the field 'nottingham_total_score' (P011) in the provided catalog.",True
TCGA-BH-A5IZ,what are the hormone receptor status of the tumor?,"[""positive for estrogen receptors"", ""negative for progesterone receptors"", ""negative for her-2"", ""positive for estrogen and progesterone receptors""]",phenotype_direct,direct,"[""P013"", ""P014"", ""P015""]","[""ER_status_label"", ""PR_status_label"", ""HER2_status_label""]",1.0,"The question explicitly asks for hormone receptor status (ER, PR, HER2), which is directly covered by prototypes P013 (ER), P014 (PR), and P015 (HER2).",False
TCGA-BH-A5IZ,what type of non-neoplastic breast tissue changes were observed?,"[""atypical ductal hyperplasia"", ""fibrocystic changes"", ""dermal lymphatic invasion"", ""focal atypical ductal hyperplasia""]",morphology_only,none,[],[],0.0,"The question asks for non-neoplastic breast tissue changes (e.g., fibrocystic changes), which are benign architectural and stromal features not covered by the provided catalog prototypes focused on carcinoma types, grades, or molecular markers.",True
TCGA-BH-A0AZ,what is the tumor size range?,"[""0.6 cm to 21 cm"", ""0.6 cm to 9 cm"", ""0.6 cm to 15 cm"", ""0.8 cm to 21 cm""]",nonvisual,none,[],[],0.0,Tumor size is a macroscopic clinical measurement not visible on H&E slides or derivable from the provided WSI-derived morphology prototypes.,False
TCGA-BH-A0AZ,what is the nottingham score?,"[""6 out of 9"", ""9 out of 6"", ""3 out of 5"", ""5 out of 10""]",phenotype_direct,direct,"[""P011""]","[""nottingham_total_score""]",1.0,"The question explicitly asks for the Nottingham score, which corresponds exactly to the field 'nottingham_total_score' (P011) in the provided catalog.",True
TCGA-BH-A0AZ,what percentage of tumor volume does ductal carcinoma in situ (dcis) represent?,"[""less than 1%"", ""approximately 2%"", ""around 10%"", ""more than 5%""]",nonvisual,none,[],[],0.0,"The question asks for a specific quantitative percentage of tumor volume, which is a clinical measurement or report-dependent fact not derivable from WSI-derived morphological prototypes or direct H&E visual inspection.",False
TCGA-BH-A0AZ,what were the results of the immunohistochemical staining?,"[""positive estrogen and negative progesterone receptors"", ""negative estrogen and positive progesterone receptors"", ""equivocal estrogen and progesterone receptors"", ""negative estrogen and negative progesterone receptors""]",nonvisual,none,[],[],0.0,"The question explicitly asks for the results of an immunohistochemical staining assay (ER/PR status), which constitutes a measured clinical fact or report finding rather than a WSI-derived morphological prediction; therefore, it falls under the nonvisual route as per the instruction to treat explicit assay/report questions as nonvisual.",False
TCGA-EW-A1PF,what is the total size of the tumor?,"[""1.0 cm"", ""2.0 cm"", ""3.0 cm"", ""4.0 cm""]",nonvisual,none,[],[],0.0,Tumor size is a macroscopic clinical measurement not visible on H&E slides or derivable from the provided WSI-derived morphology prototypes.,False
TCGA-EW-A1PF,what is the grade of the invasive ductal carcinoma?,"[""grade 1"", ""grade 2"", ""grade 3"", ""grade 4""]",phenotype_direct,direct,"[""P006""]","[""histologic_grade_label""]",1.0,"The question explicitly asks for the histologic grade of the invasive ductal carcinoma, which is directly covered by prototype P006 (histologic_grade_label).",True
TCGA-EW-A1PF,what is the size of the comedo necrosis in the ductal carcinoma in situ?,"[""less than 1%"", ""less than 3%"", ""less than 5%"", ""less than 7%""]",nonvisual,none,[],[],0.0,"The question asks for a specific quantitative measurement ('size') of comedo necrosis as a percentage, which is a report-dependent or measured clinical fact not derivable from WSI-derived binary or categorical phenotype prototypes.",False
TCGA-EW-A1PF,what is the pending immunohistochemistry for?,"[""keratin"", ""estrogen receptor"", ""progesterone receptor"", ""her2/neu""]",nonvisual,none,[],[],0.0,"The question asks for the specific purpose of a pending immunohistochemistry test, which is a procedural or report-dependent fact not derivable from WSI morphology or molecular status predictions.",False
TCGA-BH-A0BV,what is the size of the infiltrating ductal carcinoma in the breast?,"[""2.0 cm"", ""3.0 cm"", ""2 mm"", ""1.5 cm""]",nonvisual,none,[],[],0.0,"The question asks for the macroscopic size of the tumor, which is a clinical measurement obtained from the pathology report or gross examination, not a feature visible or predictable from the WSI histology image alone.",False
TCGA-BH-A0BV,what is the nottingham score of the infiltrating ductal carcinoma?,"[""7/9"", ""5/9"", ""9/9"", ""6/9""]",phenotype_direct,direct,"[""P011""]","[""nottingham_total_score""]",1.0,"The question asks for the Nottingham score, which corresponds directly to the 'nottingham_total_score' field (P011) in the catalog, despite the specific numeric format in the choices differing from the catalog's categorical labels.",True
TCGA-BH-A0BV,what is the closest margin of resection for the infiltrating ductal carcinoma?,"[""2.0 cm"", ""1.5 cm"", ""3.0 cm"", ""0.5 cm""]",nonvisual,none,[],[],0.0,"The question asks for the specific numerical measurement of the closest margin of resection, which is a clinical/pathology report fact (macroscopic measurement) and cannot be determined from WSI-derived histological morphology or the provided catalog prototypes.",False
TCGA-BH-A0BV,what is the tumor type of the ductal carcinoma in situ?,"[""solid and cribriform"", ""papillary and atypical"", ""infiltrating and lobular"", ""metastatic and invasive""]",phenotype_direct,direct,"[""P001""]","[""histological_type_label""]",1.0,"The question asks for the histological type of a DCIS lesion, which is directly covered by the 'histological_type_label' prototype (P001) that includes 'ductal carcinoma in situ' as a specific label.",True
