updated_at,processed,selected_total,answered,abstained,coverage,selective_accuracy,correct,errors,accuracy,accuracy_scorable,supported_accuracy,unsupported_accuracy,json_parse_failures,answers_outside_choices,multifield_incomplete,structured_overrides,case_id,task,task_match,last_correct,last_error
2026-08-23T16:48:32+08:00,1,390,1,0,1.0,1.0,1,0,1.0,1.0,1.0,,0,0,0,0,TCGA-LD-A74U,histological_type_label,partial,True,
2026-08-23T16:49:31+08:00,2,390,2,0,1.0,0.5,1,0,0.5,0.5,1.0,0.0,0,0,0,0,TCGA-LD-A74U,unrouted,none,False,
2026-08-23T16:49:49+08:00,3,390,3,0,1.0,0.3333333333333333,1,0,0.3333333333333333,0.3333333333333333,0.5,0.0,0,0,0,0,TCGA-LD-A74U,histologic_grade_label,direct,False,
2026-08-23T16:50:26+08:00,4,390,4,0,1.0,0.5,2,0,0.5,0.5,0.6666666666666666,0.0,0,0,0,0,TCGA-LD-A74U,histological_type_label+dcis_binary+lcis_binary,partial,True,
2026-08-23T16:52:15+08:00,5,390,5,0,1.0,0.4,2,0,0.4,0.4,0.5,0.0,0,0,0,0,TCGA-AR-A1AI,histological_type_label,partial,False,
2026-08-23T16:52:24+08:00,6,390,6,0,1.0,0.3333333333333333,2,0,0.3333333333333333,0.3333333333333333,0.5,0.0,0,0,0,0,TCGA-AR-A1AI,unrouted,none,False,
2026-08-23T16:52:35+08:00,7,390,7,0,1.0,0.2857142857142857,2,0,0.2857142857142857,0.2857142857142857,0.5,0.0,0,0,0,0,TCGA-AR-A1AI,unrouted,none,False,
2026-08-23T16:53:09+08:00,8,390,8,0,1.0,0.25,2,0,0.25,0.25,0.5,0.0,0,0,0,0,TCGA-B6-A0WZ,unrouted,none,False,
2026-08-23T16:53:53+08:00,9,390,9,0,1.0,0.2222222222222222,2,0,0.2222222222222222,0.2222222222222222,0.4,0.0,0,0,0,0,TCGA-B6-A0WZ,histological_type_label,partial,False,
2026-08-23T16:54:49+08:00,10,390,10,0,1.0,0.2,2,0,0.2,0.2,0.4,0.0,0,0,0,0,TCGA-B6-A0WZ,unrouted,none,False,
2026-08-23T16:55:49+08:00,11,390,11,0,1.0,0.2727272727272727,3,0,0.2727272727272727,0.2727272727272727,0.5,0.0,0,0,0,0,TCGA-B6-A0WZ,ER_status_label+PR_status_label,direct,True,
2026-08-23T16:56:28+08:00,12,390,12,0,1.0,0.25,3,0,0.25,0.25,0.5,0.0,0,0,0,0,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-23T16:57:46+08:00,13,390,13,0,1.0,0.23076923076923078,3,0,0.23076923076923078,0.23076923076923078,0.42857142857142855,0.0,0,0,0,0,TCGA-BH-A5IZ,histological_type_label,partial,False,
2026-08-23T16:58:23+08:00,14,390,14,0,1.0,0.21428571428571427,3,0,0.21428571428571427,0.21428571428571427,0.375,0.0,0,0,0,0,TCGA-BH-A5IZ,nottingham_total_score,partial,False,
2026-08-23T16:58:45+08:00,15,390,15,0,1.0,0.2,3,0,0.2,0.2,0.3333333333333333,0.0,0,0,0,0,TCGA-BH-A5IZ,ER_status_label+PR_status_label+HER2_status_label,direct,False,
2026-08-23T16:59:58+08:00,16,390,16,0,1.0,0.1875,3,0,0.1875,0.1875,0.3333333333333333,0.0,0,0,0,0,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-23T17:00:33+08:00,17,390,17,0,1.0,0.23529411764705882,4,0,0.23529411764705882,0.23529411764705882,0.3333333333333333,0.125,0,0,0,0,TCGA-BH-A0AZ,unrouted,none,True,
2026-08-23T17:02:23+08:00,18,390,18,0,1.0,0.2777777777777778,5,0,0.2777777777777778,0.2777777777777778,0.4,0.125,0,0,0,0,TCGA-BH-A0AZ,nottingham_total_score,partial,True,
2026-08-23T17:03:46+08:00,19,390,19,0,1.0,0.2631578947368421,5,0,0.2631578947368421,0.2631578947368421,0.4,0.1111111111111111,0,0,0,0,TCGA-BH-A0AZ,unrouted,none,False,
2026-08-23T17:04:11+08:00,20,390,20,0,1.0,0.25,5,0,0.25,0.25,0.36363636363636365,0.1111111111111111,0,0,0,0,TCGA-BH-A0AZ,ER_status_label+PR_status_label,partial,False,
2026-08-23T17:05:41+08:00,21,390,21,0,1.0,0.23809523809523808,5,0,0.23809523809523808,0.23809523809523808,0.36363636363636365,0.1,0,0,0,0,TCGA-EW-A1PF,unrouted,none,False,
2026-08-23T17:06:15+08:00,22,390,22,0,1.0,0.2727272727272727,6,0,0.2727272727272727,0.2727272727272727,0.4166666666666667,0.1,0,0,0,0,TCGA-EW-A1PF,histologic_grade_label,partial,True,
2026-08-23T17:07:11+08:00,23,390,23,0,1.0,0.30434782608695654,7,0,0.30434782608695654,0.30434782608695654,0.4166666666666667,0.18181818181818182,0,0,0,0,TCGA-EW-A1PF,unrouted,none,True,
2026-08-23T17:07:21+08:00,24,390,24,0,1.0,0.2916666666666667,7,0,0.2916666666666667,0.2916666666666667,0.4166666666666667,0.16666666666666666,0,0,0,0,TCGA-EW-A1PF,unrouted,none,False,
2026-08-23T17:08:49+08:00,25,390,25,0,1.0,0.28,7,0,0.28,0.28,0.4166666666666667,0.15384615384615385,0,0,0,0,TCGA-BH-A0BV,unrouted,none,False,
2026-08-23T17:09:30+08:00,26,390,26,0,1.0,0.2692307692307692,7,0,0.2692307692307692,0.2692307692307692,0.38461538461538464,0.15384615384615385,0,0,0,0,TCGA-BH-A0BV,nottingham_total_score,partial,False,
2026-08-23T17:10:27+08:00,27,390,27,0,1.0,0.25925925925925924,7,0,0.25925925925925924,0.25925925925925924,0.38461538461538464,0.14285714285714285,0,0,0,0,TCGA-BH-A0BV,unrouted,none,False,
2026-08-23T17:11:06+08:00,28,390,28,0,1.0,0.25,7,0,0.25,0.25,0.35714285714285715,0.14285714285714285,0,0,0,0,TCGA-BH-A0BV,histological_type_label,partial,False,
2026-08-23T17:11:34+08:00,29,390,29,0,1.0,0.2413793103448276,7,0,0.2413793103448276,0.2413793103448276,0.3333333333333333,0.14285714285714285,0,0,0,0,TCGA-BH-A0BV,ajcc_pathologic_stage,partial,False,
2026-08-23T17:12:14+08:00,30,390,30,0,1.0,0.26666666666666666,8,0,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.2,0,0,0,0,TCGA-BH-A202,unrouted,none,True,
2026-08-23T17:12:33+08:00,31,390,31,0,1.0,0.25806451612903225,8,0,0.25806451612903225,0.25806451612903225,0.3125,0.2,0,0,0,0,TCGA-BH-A202,ER_status_label,partial,False,
2026-08-23T17:13:59+08:00,32,390,32,0,1.0,0.28125,9,0,0.28125,0.28125,0.35294117647058826,0.2,0,0,0,0,TCGA-BH-A202,histological_type_label,partial,True,
2026-08-23T17:14:35+08:00,33,390,33,0,1.0,0.2727272727272727,9,0,0.2727272727272727,0.2727272727272727,0.3333333333333333,0.2,0,0,0,0,TCGA-BH-A202,lymphovascular_invasion_label,partial,False,
2026-08-23T17:15:03+08:00,34,390,34,0,1.0,0.29411764705882354,10,0,0.29411764705882354,0.29411764705882354,0.3684210526315789,0.2,0,0,0,0,TCGA-BH-A202,ajcc_pathologic_stage,partial,True,
2026-08-23T17:16:29+08:00,35,390,35,0,1.0,0.3142857142857143,11,0,0.3142857142857143,0.3142857142857143,0.3684210526315789,0.25,0,0,0,0,TCGA-BH-A202,unrouted,none,True,
2026-08-23T17:18:19+08:00,36,390,36,0,1.0,0.3333333333333333,12,0,0.3333333333333333,0.3333333333333333,0.4,0.25,0,0,0,0,TCGA-AR-A0U3,histological_type_label,partial,True,
2026-08-23T17:18:27+08:00,37,390,37,0,1.0,0.35135135135135137,13,0,0.35135135135135137,0.35135135135135137,0.4,0.29411764705882354,0,0,0,0,TCGA-AR-A0U3,unrouted,none,True,
2026-08-23T17:18:51+08:00,38,390,38,0,1.0,0.34210526315789475,13,0,0.34210526315789475,0.34210526315789475,0.38095238095238093,0.29411764705882354,0,0,0,0,TCGA-AR-A0U3,ajcc_pathologic_stage,partial,False,
2026-08-23T17:19:55+08:00,39,390,39,0,1.0,0.358974358974359,14,0,0.358974358974359,0.358974358974359,0.38095238095238093,0.3333333333333333,0,0,0,0,TCGA-AR-A0U3,unrouted,none,True,
2026-08-23T17:20:29+08:00,40,390,40,0,1.0,0.375,15,0,0.375,0.375,0.4090909090909091,0.3333333333333333,0,0,0,0,TCGA-AR-A0U3,ER_status_label,partial,True,
2026-08-23T17:21:27+08:00,41,390,41,0,1.0,0.3902439024390244,16,0,0.3902439024390244,0.3902439024390244,0.43478260869565216,0.3333333333333333,0,0,0,0,TCGA-AO-A0JE,histologic_grade_label,partial,True,
2026-08-23T17:22:31+08:00,42,390,42,0,1.0,0.40476190476190477,17,0,0.40476190476190477,0.40476190476190477,0.4583333333333333,0.3333333333333333,0,0,0,0,TCGA-AO-A0JE,lymphovascular_invasion_label+microcalcification_binary,partial,True,
