updated_at,processed,selected_total,answered,abstained,coverage,selective_accuracy,correct,errors,accuracy,accuracy_scorable,supported_accuracy,unsupported_accuracy,json_parse_failures,answers_outside_choices,multifield_incomplete,structured_overrides,tumor_type_accuracy,receptor_status_accuracy,her2_expression_accuracy,histological_grading_accuracy,molecular_subtype_accuracy,case_id,task,task_match,dataset_task,slidebench_category,last_correct,last_error
2026-08-30T17:13:07+08:00,1,1058,0,0,0.0,,0,1,0.0,,0.0,,0,1,0,0,0.0,,,,,1,histological_type_label,direct,Tumor,tumor_type,False,RuntimeError: jpegtran is required for memory-efficient cropping of large JPEG WSIs
2026-08-30T17:13:18+08:00,2,1058,0,0,0.0,,0,2,0.0,,0.0,,0,2,0,0,0.0,,,,,2,histological_type_label,direct,Tumor,tumor_type,False,RuntimeError: jpegtran is required for memory-efficient cropping of large JPEG WSIs
2026-08-30T17:13:29+08:00,3,1058,0,0,0.0,,0,3,0.0,,0.0,,0,3,0,0,0.0,,,,,3,histological_type_label,direct,Tumor,tumor_type,False,RuntimeError: jpegtran is required for memory-efficient cropping of large JPEG WSIs
2026-08-30T17:13:40+08:00,4,1058,0,0,0.0,,0,4,0.0,,0.0,,0,4,0,0,0.0,,,,,4,histological_type_label,direct,Tumor,tumor_type,False,RuntimeError: jpegtran is required for memory-efficient cropping of large JPEG WSIs
2026-08-30T17:13:51+08:00,5,1058,0,0,0.0,,0,5,0.0,,0.0,,0,5,0,0,0.0,,,,,5,histological_type_label,direct,Tumor,tumor_type,False,RuntimeError: jpegtran is required for memory-efficient cropping of large JPEG WSIs
2026-08-30T17:14:01+08:00,6,1058,0,0,0.0,,0,6,0.0,,0.0,,0,6,0,0,0.0,,,,,6,histological_type_label,direct,Tumor,tumor_type,False,RuntimeError: jpegtran is required for memory-efficient cropping of large JPEG WSIs
2026-08-30T17:14:11+08:00,7,1058,0,0,0.0,,0,7,0.0,,0.0,,0,7,0,0,0.0,,,,,7,histological_type_label,direct,Tumor,tumor_type,False,RuntimeError: jpegtran is required for memory-efficient cropping of large JPEG WSIs
2026-08-30T17:14:22+08:00,8,1058,0,0,0.0,,0,8,0.0,,0.0,,0,8,0,0,0.0,,,,,8,histological_type_label,direct,Tumor,tumor_type,False,RuntimeError: jpegtran is required for memory-efficient cropping of large JPEG WSIs
2026-08-30T17:14:33+08:00,9,1058,0,0,0.0,,0,9,0.0,,0.0,,0,9,0,0,0.0,,,,,9,histological_type_label,direct,Tumor,tumor_type,False,RuntimeError: jpegtran is required for memory-efficient cropping of large JPEG WSIs
2026-08-30T17:14:44+08:00,10,1058,0,0,0.0,,0,10,0.0,,0.0,,0,10,0,0,0.0,,,,,10,histological_type_label,direct,Tumor,tumor_type,False,RuntimeError: jpegtran is required for memory-efficient cropping of large JPEG WSIs
2026-08-30T17:14:55+08:00,11,1058,0,0,0.0,,0,11,0.0,,0.0,,0,11,0,0,0.0,,,,,11,histological_type_label,direct,Tumor,tumor_type,False,RuntimeError: jpegtran is required for memory-efficient cropping of large JPEG WSIs
2026-08-30T17:15:06+08:00,12,1058,0,0,0.0,,0,12,0.0,,0.0,,0,12,0,0,0.0,,,,,12,histological_type_label,direct,Tumor,tumor_type,False,RuntimeError: jpegtran is required for memory-efficient cropping of large JPEG WSIs
2026-08-30T17:15:17+08:00,13,1058,0,0,0.0,,0,13,0.0,,0.0,,0,13,0,0,0.0,,,,,13,histological_type_label,direct,Tumor,tumor_type,False,RuntimeError: jpegtran is required for memory-efficient cropping of large JPEG WSIs
2026-08-30T17:15:28+08:00,14,1058,0,0,0.0,,0,14,0.0,,0.0,,0,14,0,0,0.0,,,,,14,histological_type_label,direct,Tumor,tumor_type,False,RuntimeError: jpegtran is required for memory-efficient cropping of large JPEG WSIs
2026-08-30T17:18:06+08:00,1,1058,1,0,1.0,0.0,0,0,0.0,0.0,0.0,,0,0,0,0,0.0,,,,,1,histological_type_label,direct,Tumor,tumor_type,False,
