updated_at,processed,selected_total,answered,abstained,coverage,selective_accuracy,correct,errors,accuracy,accuracy_scorable,supported_accuracy,unsupported_accuracy,json_parse_failures,answers_outside_choices,multifield_incomplete,structured_overrides,case_id,task,task_match,last_correct,last_error
2026-08-11T10:26:13+08:00,1,390,0,1,0.0,,0,0,0.0,,,,0,0,0,0,TCGA-LD-A74U,unrouted,none,False,
2026-08-11T10:26:59+08:00,2,390,1,1,0.5,0.0,0,0,0.0,0.0,0.0,,0,0,0,1,TCGA-LD-A74U,histological_type_label,direct,False,
2026-08-11T10:27:18+08:00,3,390,2,1,0.6666666666666666,0.0,0,0,0.0,0.0,0.0,,0,0,0,2,TCGA-LD-A74U,histologic_grade_label,direct,False,
2026-08-11T10:27:34+08:00,4,390,3,1,0.75,0.3333333333333333,1,0,0.25,0.3333333333333333,0.3333333333333333,,0,0,0,2,TCGA-LD-A74U,histological_type_label+dcis_binary+lcis_binary,direct,True,
2026-08-11T10:27:44+08:00,5,390,3,2,0.6,0.3333333333333333,1,0,0.2,0.3333333333333333,0.3333333333333333,,0,0,0,2,TCGA-AR-A1AI,unrouted,none,False,
2026-08-11T10:27:47+08:00,6,390,3,3,0.5,0.3333333333333333,1,0,0.16666666666666666,0.3333333333333333,0.3333333333333333,,0,0,0,2,TCGA-AR-A1AI,unrouted,none,False,
2026-08-11T10:28:09+08:00,7,390,4,3,0.5714285714285714,0.5,2,0,0.2857142857142857,0.5,0.5,,0,0,0,3,TCGA-AR-A1AI,histological_type_label,direct,True,
2026-08-11T10:28:11+08:00,8,390,4,4,0.5,0.5,2,0,0.25,0.5,0.5,,0,0,0,3,TCGA-B6-A0WZ,unrouted,none,False,
2026-08-11T10:28:28+08:00,9,390,4,5,0.4444444444444444,0.5,2,0,0.2222222222222222,0.5,0.5,,0,0,0,3,TCGA-B6-A0WZ,unrouted,none,False,
2026-08-11T10:28:55+08:00,10,390,5,5,0.5,0.4,2,0,0.2,0.4,0.4,,0,0,0,3,TCGA-B6-A0WZ,histological_type_label,direct,False,
2026-08-11T10:28:58+08:00,11,390,6,5,0.5454545454545454,0.3333333333333333,2,0,0.18181818181818182,0.3333333333333333,0.4,0.0,0,0,0,3,TCGA-B6-A0WZ,unrouted,none,False,
2026-08-11T10:29:00+08:00,12,390,6,6,0.5,0.3333333333333333,2,0,0.16666666666666666,0.3333333333333333,0.4,0.0,0,0,0,3,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-11T10:29:03+08:00,13,390,6,7,0.46153846153846156,0.3333333333333333,2,0,0.15384615384615385,0.3333333333333333,0.4,0.0,0,0,0,3,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-11T10:29:06+08:00,14,390,6,8,0.42857142857142855,0.3333333333333333,2,0,0.14285714285714285,0.3333333333333333,0.4,0.0,0,0,0,3,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-11T10:29:47+08:00,15,390,7,8,0.4666666666666667,0.2857142857142857,2,0,0.13333333333333333,0.2857142857142857,0.3333333333333333,0.0,0,0,0,3,TCGA-BH-A5IZ,ER_status_label+PR_status_label+HER2_status_label,direct,False,
2026-08-11T10:29:59+08:00,16,390,8,8,0.5,0.25,2,0,0.125,0.25,0.3333333333333333,0.0,0,0,0,3,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-11T10:30:01+08:00,17,390,8,9,0.47058823529411764,0.25,2,0,0.11764705882352941,0.25,0.3333333333333333,0.0,0,0,0,3,TCGA-BH-A0AZ,unrouted,none,False,
2026-08-11T10:30:03+08:00,18,390,8,10,0.4444444444444444,0.25,2,0,0.1111111111111111,0.25,0.3333333333333333,0.0,0,0,0,3,TCGA-BH-A0AZ,unrouted,none,False,
2026-08-11T10:30:06+08:00,19,390,8,11,0.42105263157894735,0.25,2,0,0.10526315789473684,0.25,0.3333333333333333,0.0,0,0,0,3,TCGA-BH-A0AZ,unrouted,none,False,
2026-08-11T10:30:08+08:00,20,390,8,12,0.4,0.25,2,0,0.1,0.25,0.3333333333333333,0.0,0,0,0,3,TCGA-BH-A0AZ,unrouted,none,False,
2026-08-11T10:30:10+08:00,21,390,8,13,0.38095238095238093,0.25,2,0,0.09523809523809523,0.25,0.3333333333333333,0.0,0,0,0,3,TCGA-EW-A1PF,unrouted,none,False,
2026-08-11T10:30:19+08:00,22,390,8,14,0.36363636363636365,0.25,2,0,0.09090909090909091,0.25,0.3333333333333333,0.0,0,0,0,3,TCGA-EW-A1PF,unrouted,none,False,
2026-08-11T10:30:22+08:00,23,390,8,15,0.34782608695652173,0.25,2,0,0.08695652173913043,0.25,0.3333333333333333,0.0,0,0,0,3,TCGA-EW-A1PF,unrouted,none,False,
2026-08-11T10:30:40+08:00,24,390,9,15,0.375,0.2222222222222222,2,0,0.08333333333333333,0.2222222222222222,0.2857142857142857,0.0,0,0,0,4,TCGA-EW-A1PF,histologic_grade_label,direct,False,
