updated_at,processed,selected_total,answered,abstained,coverage,selective_accuracy,correct,errors,accuracy,accuracy_scorable,supported_accuracy,unsupported_accuracy,json_parse_failures,answers_outside_choices,multifield_incomplete,structured_overrides,case_id,task,task_match,last_correct,last_error
2026-08-15T11:48:38+08:00,1,19,1,0,1.0,0.0,0,0,0.0,0.0,,0.0,0,0,0,0,TCGA-B6-A0WZ,unrouted,none,False,
2026-08-15T11:49:23+08:00,2,19,2,0,1.0,0.0,0,0,0.0,0.0,,0.0,0,0,0,0,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-15T11:50:12+08:00,3,19,3,0,1.0,0.0,0,0,0.0,0.0,,0.0,0,0,0,0,TCGA-A1-A0SF,unrouted,none,False,
2026-08-15T11:50:58+08:00,4,19,4,0,1.0,0.0,0,0,0.0,0.0,,0.0,0,0,0,0,TCGA-BH-A0DG,unrouted,none,False,
2026-08-15T11:51:50+08:00,5,19,5,0,1.0,0.0,0,0,0.0,0.0,,0.0,0,0,0,0,TCGA-BH-A0DD,unrouted,none,False,
2026-08-15T11:52:35+08:00,6,19,6,0,1.0,0.0,0,0,0.0,0.0,,0.0,0,0,0,0,TCGA-B6-A0IA,unrouted,none,False,
2026-08-15T11:53:14+08:00,7,19,7,0,1.0,0.0,0,0,0.0,0.0,,0.0,0,0,0,0,TCGA-LL-A442,unrouted,none,False,
2026-08-15T11:53:57+08:00,8,19,8,0,1.0,0.0,0,0,0.0,0.0,,0.0,0,0,0,0,TCGA-B6-A0WV,unrouted,none,False,
2026-08-15T11:54:38+08:00,9,19,9,0,1.0,0.0,0,0,0.0,0.0,,0.0,0,0,0,0,TCGA-A8-A08Z,unrouted,none,False,
2026-08-15T11:55:28+08:00,10,19,10,0,1.0,0.0,0,0,0.0,0.0,,0.0,0,0,0,0,TCGA-D8-A1JL,unrouted,none,False,
2026-08-15T11:56:11+08:00,11,19,11,0,1.0,0.0,0,0,0.0,0.0,,0.0,0,0,0,0,TCGA-B6-A0RO,unrouted,none,False,
2026-08-15T11:56:47+08:00,12,19,12,0,1.0,0.0,0,0,0.0,0.0,,0.0,0,0,0,0,TCGA-OL-A5RX,unrouted,none,False,
2026-08-15T11:57:26+08:00,13,19,13,0,1.0,0.0,0,0,0.0,0.0,,0.0,0,0,0,0,TCGA-A2-A25A,unrouted,none,False,
2026-08-15T11:58:00+08:00,14,19,14,0,1.0,0.0,0,0,0.0,0.0,,0.0,0,0,0,0,TCGA-A8-A09Q,unrouted,none,False,
2026-08-15T11:58:45+08:00,15,19,15,0,1.0,0.06666666666666667,1,0,0.06666666666666667,0.06666666666666667,,0.06666666666666667,0,0,0,0,TCGA-AQ-A54N,unrouted,none,True,
2026-08-15T11:59:28+08:00,16,19,16,0,1.0,0.0625,1,0,0.0625,0.0625,,0.0625,0,0,0,0,TCGA-BH-A42U,unrouted,none,False,
2026-08-15T12:00:14+08:00,17,19,17,0,1.0,0.11764705882352941,2,0,0.11764705882352941,0.11764705882352941,,0.11764705882352941,0,0,0,0,TCGA-A2-A0EM,unrouted,none,True,
2026-08-15T12:01:05+08:00,18,19,18,0,1.0,0.16666666666666666,3,0,0.16666666666666666,0.16666666666666666,,0.16666666666666666,0,0,0,0,TCGA-AR-A24S,unrouted,none,True,
2026-08-15T12:01:57+08:00,19,19,19,0,1.0,0.15789473684210525,3,0,0.15789473684210525,0.15789473684210525,,0.15789473684210525,0,0,0,0,TCGA-BH-A0BQ,unrouted,none,False,
