case_id,question,group_id,scale,slide_id,patch_index,x,y,size,question_similarity,image_path
TCGA-B6-A0WZ,is there evidence of multifocal tumor?,1,4096,TCGA-B6-A0WZ-01Z-00-DX1.6CFB236E-36F5-43D6-8DE3-C4ECBD3C14C6_0_4096,148,71200,21088,4096,0.056364886462688446,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-B6-A0WZ/0baf90fe69/group1_4096_71200_21088.jpg
TCGA-B6-A0WZ,is there evidence of multifocal tumor?,1,1024,TCGA-B6-A0WZ-01Z-00-DX1.6CFB236E-36F5-43D6-8DE3-C4ECBD3C14C6_0_1024,2076,72224,22112,1024,0.0682188868522644,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-B6-A0WZ/0baf90fe69/group1_1024_72224_22112.jpg
TCGA-B6-A0WZ,is there evidence of multifocal tumor?,2,2048,TCGA-B6-A0WZ-01Z-00-DX1.6CFB236E-36F5-43D6-8DE3-C4ECBD3C14C6_0_2048,551,71200,53856,2048,0.055472251027822495,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-B6-A0WZ/0baf90fe69/group2_2048_71200_53856.jpg
TCGA-B6-A0WZ,is there evidence of multifocal tumor?,2,1024,TCGA-B6-A0WZ-01Z-00-DX1.6CFB236E-36F5-43D6-8DE3-C4ECBD3C14C6_0_1024,2065,71200,53856,1024,0.0595453642308712,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-B6-A0WZ/0baf90fe69/group2_1024_71200_53856.jpg
TCGA-B6-A0WZ,is there evidence of multifocal tumor?,3,1024,TCGA-B6-A0WZ-01Z-00-DX1.6CFB236E-36F5-43D6-8DE3-C4ECBD3C14C6_0_1024,146,95683,11649,1024,0.06283935159444809,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-B6-A0WZ/0baf90fe69/group3_1024_95683_11649.jpg
TCGA-B6-A0WZ,is there evidence of multifocal tumor?,4,2048,TCGA-B6-A0WZ-01Z-00-DX1.6CFB236E-36F5-43D6-8DE3-C4ECBD3C14C6_0_2048,149,28192,49760,2048,0.05781809613108635,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-B6-A0WZ/0baf90fe69/group4_2048_28192_49760.jpg
TCGA-BH-A5IZ,what type of non-neoplastic breast tissue changes were observed?,1,1024,TCGA-BH-A5IZ-01Z-00-DX1.6C871030-82E1-463E-A67B-976A5F3DCDB2_0_1024,3138,95008,85552,1024,0.08824384212493896,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-BH-A5IZ/a34206ea0d/group1_1024_95008_85552.jpg
TCGA-BH-A5IZ,what type of non-neoplastic breast tissue changes were observed?,2,4096,TCGA-BH-A5IZ-01Z-00-DX1.6C871030-82E1-463E-A67B-976A5F3DCDB2_0_4096,62,31520,28208,4096,0.08568891882896423,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-BH-A5IZ/a34206ea0d/group2_4096_31520_28208.jpg
TCGA-BH-A5IZ,what type of non-neoplastic breast tissue changes were observed?,3,4096,TCGA-BH-A5IZ-01Z-00-DX1.6C871030-82E1-463E-A67B-976A5F3DCDB2_0_4096,201,88864,89648,4096,0.08360825479030609,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-BH-A5IZ/a34206ea0d/group3_4096_88864_89648.jpg
TCGA-BH-A5IZ,what type of non-neoplastic breast tissue changes were observed?,4,1024,TCGA-BH-A5IZ-01Z-00-DX1.6C871030-82E1-463E-A67B-976A5F3DCDB2_0_1024,809,32544,86576,1024,0.08104344457387924,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-BH-A5IZ/a34206ea0d/group4_1024_32544_86576.jpg
TCGA-A1-A0SF,what is the pathological finding in the ovary?,1,4096,TCGA-A1-A0SF-01A-01-MSA.d0f9a7bb-14fb-45a6-aedc-eddaa95ad41f_0_4096,31,91148,19392,4096,0.03091678023338318,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-A1-A0SF/30da6d19d9/group1_4096_91148_19392.jpg
TCGA-A1-A0SF,what is the pathological finding in the ovary?,1,2048,TCGA-A1-A0SF-01A-01-MSA.d0f9a7bb-14fb-45a6-aedc-eddaa95ad41f_0_2048,124,93196,19392,2048,0.05137031525373459,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-A1-A0SF/30da6d19d9/group1_2048_93196_19392.jpg
TCGA-A1-A0SF,what is the pathological finding in the ovary?,2,1024,TCGA-A1-A0SF-01A-01-MSA.d0f9a7bb-14fb-45a6-aedc-eddaa95ad41f_0_1024,72,72716,18368,1024,0.05662405490875244,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-A1-A0SF/30da6d19d9/group2_1024_72716_18368.jpg
TCGA-A1-A0SF,what is the pathological finding in the ovary?,3,1024,TCGA-A1-A0SF-01A-01-TSA.76e0b1d7-e95b-4c5e-8f53-b62d2700da2e_0_1024,327,81810,16672,1024,0.05606330931186676,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-A1-A0SF/30da6d19d9/group3_1024_81810_16672.jpg
TCGA-A1-A0SF,what is the pathological finding in the ovary?,4,2048,TCGA-A1-A0SF-01A-01-MSA.d0f9a7bb-14fb-45a6-aedc-eddaa95ad41f_0_2048,288,27904,17760,2048,0.04460171237587929,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-A1-A0SF/30da6d19d9/group4_2048_27904_17760.jpg
TCGA-BH-A0DG,what type of breast tissue is present besides the tumor?,1,4096,TCGA-BH-A0DG-01Z-00-DX1.D3C4F57F-608F-46AA-A978-B558117C9DFB_0_4096,55,31776,12416,4096,0.09378629922866821,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-BH-A0DG/663c4e7cc4/group1_4096_31776_12416.jpg
TCGA-BH-A0DG,what type of breast tissue is present besides the tumor?,1,2048,TCGA-BH-A0DG-01Z-00-DX1.D3C4F57F-608F-46AA-A978-B558117C9DFB_0_2048,198,31776,12416,2048,0.12270953506231308,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-BH-A0DG/663c4e7cc4/group1_2048_31776_12416.jpg
