updated_at,processed,selected_total,answered,abstained,coverage,selective_accuracy,correct,errors,accuracy,accuracy_scorable,supported_accuracy,unsupported_accuracy,json_parse_failures,answers_outside_choices,multifield_incomplete,structured_overrides,case_id,task,task_match,last_correct,last_error
2026-08-22T21:41:38+08:00,1,390,1,0,1.0,1.0,1,0,1.0,1.0,1.0,,0,0,0,0,TCGA-LD-A74U,histological_type_label,partial,True,
2026-08-22T21:42:27+08:00,2,390,2,0,1.0,0.5,1,0,0.5,0.5,1.0,0.0,0,0,0,0,TCGA-LD-A74U,unrouted,none,False,
2026-08-22T21:42:53+08:00,3,390,3,0,1.0,0.3333333333333333,1,0,0.3333333333333333,0.3333333333333333,0.5,0.0,0,0,0,0,TCGA-LD-A74U,histologic_grade_label,direct,False,
2026-08-22T21:43:49+08:00,4,390,4,0,1.0,0.5,2,0,0.5,0.5,0.6666666666666666,0.0,0,0,0,0,TCGA-LD-A74U,histological_type_label+dcis_binary+lcis_binary,partial,True,
2026-08-22T21:45:09+08:00,5,390,5,0,1.0,0.4,2,0,0.4,0.4,0.5,0.0,0,0,0,0,TCGA-AR-A1AI,histological_type_label,partial,False,
2026-08-22T21:45:21+08:00,6,390,6,0,1.0,0.3333333333333333,2,0,0.3333333333333333,0.3333333333333333,0.5,0.0,0,0,0,0,TCGA-AR-A1AI,unrouted,none,False,
2026-08-22T21:46:27+08:00,7,390,7,0,1.0,0.2857142857142857,2,0,0.2857142857142857,0.2857142857142857,0.5,0.0,0,0,0,0,TCGA-AR-A1AI,unrouted,none,False,
2026-08-22T21:46:58+08:00,8,390,8,0,1.0,0.25,2,0,0.25,0.25,0.5,0.0,0,0,0,0,TCGA-B6-A0WZ,unrouted,none,False,
2026-08-22T21:47:32+08:00,9,390,9,0,1.0,0.2222222222222222,2,0,0.2222222222222222,0.2222222222222222,0.4,0.0,0,0,0,0,TCGA-B6-A0WZ,histological_type_label,partial,False,
2026-08-22T21:48:26+08:00,10,390,10,0,1.0,0.2,2,0,0.2,0.2,0.4,0.0,0,0,0,0,TCGA-B6-A0WZ,unrouted,none,False,
2026-08-22T21:48:51+08:00,11,390,11,0,1.0,0.2727272727272727,3,0,0.2727272727272727,0.2727272727272727,0.5,0.0,0,0,0,0,TCGA-B6-A0WZ,ER_status_label+PR_status_label,direct,True,
