原始标签列名,标签中文名,字段名,标签分组,核心基因数,核心推荐基因标签,从153候选库中删除的基因数,删除的非核心候选基因,生物学先验依据
病例ID（case_id）,病例ID,case_id,not_applicable,0,,0,,样本标识/癌种字段，不作为基因预测目标。
癌种（cancer_type）,癌种,cancer_type,not_applicable,0,,0,,样本标识/癌种字段，不作为基因预测目标。
组织学类型标签（histological_type_label）,组织学类型标签,histological_type_label,形态学/组织学类型,21,"EPCAM,KRT8,KRT18,KRT19,MUC1,CDH1,CLDN7,CTNNA1,ESR1,PGR,FOXA1,GATA3,PIK3CA,BCL2,KRT5,KRT14,KRT17,EGFR,TP63,ERBB2,TP53",4,"KRT7,CLDN3,CLDN4,XBP1",组织学类型/导管-小叶-原位癌表型，选择上皮、luminal、basal、HER2和细胞黏附相关基因。
组织学类型中文（histological_type_zh）,组织学类型中文,histological_type_zh,形态学/组织学类型,21,"EPCAM,KRT8,KRT18,KRT19,MUC1,CDH1,CLDN7,CTNNA1,ESR1,PGR,FOXA1,GATA3,PIK3CA,BCL2,KRT5,KRT14,KRT17,EGFR,TP63,ERBB2,TP53",4,"KRT7,CLDN3,CLDN4,XBP1",组织学类型/导管-小叶-原位癌表型，选择上皮、luminal、basal、HER2和细胞黏附相关基因。
是否浸润性癌（invasive_carcinoma_binary）,是否浸润性癌,invasive_carcinoma_binary,形态学-浸润/侵袭,15,"CDH1,VIM,SNAI1,SNAI2,TWIST1,ZEB1,ZEB2,MMP2,MMP9,COL1A1,COL3A1,MKI67,TOP2A,BIRC5,CCNB1",10,"FN1,TWIST2,MMP14,ITGA5,ITGB1,TGFBI,TGFB1,LOX,CDH2,CCNB2",侵袭/侵犯相关表型，选择EMT、基质重塑、胶原、MMP和缺氧相关基因。
是否导管成分（ductal_binary）,是否导管成分,ductal_binary,形态学-导管成分,13,"EPCAM,KRT8,KRT18,KRT19,MUC1,CDH1,CLDN7,GATA3,FOXA1,ESR1,PGR,ERBB2,TP53",3,"KRT7,CLDN3,CLDN4",组织学类型/导管-小叶-原位癌表型，选择上皮、luminal、basal、HER2和细胞黏附相关基因。
是否小叶成分（lobular_binary）,是否小叶成分,lobular_binary,形态学-小叶成分,12,"CDH1,CTNNA1,ESR1,PGR,FOXA1,GATA3,PIK3CA,MUC1,KRT8,KRT18,EPCAM,CLDN7",0,,组织学类型/导管-小叶-原位癌表型，选择上皮、luminal、basal、HER2和细胞黏附相关基因。
DCIS导管原位癌（dcis_binary）,DCIS导管原位癌,dcis_binary,形态学-原位癌,18,"EPCAM,KRT8,KRT18,KRT19,MUC1,CDH1,CLDN7,ERBB2,GRB7,TOP2A,CCNE1,MKI67,BIRC5,CCNB1,CDK1,TP53,ESR1,PGR",7,"KRT7,CLDN3,CLDN4,PGAP3,STARD3,PSMD3,CCNB2",组织学类型/导管-小叶-原位癌表型，选择上皮、luminal、basal、HER2和细胞黏附相关基因。
LCIS小叶原位癌（lcis_binary）,LCIS小叶原位癌,lcis_binary,形态学-原位癌,12,"CDH1,CTNNA1,ESR1,PGR,FOXA1,GATA3,PIK3CA,MUC1,KRT8,KRT18,BCL2,EPCAM",3,"XBP1,TFF1,TFF3",组织学类型/导管-小叶-原位癌表型，选择上皮、luminal、basal、HER2和细胞黏附相关基因。
组织学分级标签（histologic_grade_label）,组织学分级标签,histologic_grade_label,形态学-分级,14,"MKI67,TOP2A,BIRC5,CCNB1,CDK1,AURKA,PCNA,TP53,CCNE1,ESR1,PGR,GATA3,FOXA1,ERBB2",16,"CCNB2,AURKB,PLK1,CDC20,UBE2C,MCM2,MCM4,MCM6,MYBL2,BRCA1,BRCA2,CHEK1,CHEK2,ATM,ATR,MYC",分级/Nottingham评分与增殖、细胞周期、核异型性和上皮分化相关。
淋巴血管侵犯标签（lymphovascular_invasion_label）,淋巴血管侵犯标签,lymphovascular_invasion_label,形态学-侵袭/转移风险,8,"MMP2,MMP9,CDH1,VIM,SNAI1,SNAI2,TWIST1,ZEB1",17,"PECAM1,VWF,ENG,KDR,FLT4,LYVE1,PROX1,PDPN,ANGPT2,ICAM1,MMP14,ITGA5,ITGB1,TGFB1,LOX,FN1,TWIST2",侵袭/侵犯相关表型，选择EMT、基质重塑、胶原、MMP和缺氧相关基因。
神经侵犯标签（perineural_invasion_label）,神经侵犯标签,perineural_invasion_label,形态学-神经侵犯,6,"MMP9,VIM,SNAI1,SNAI2,TWIST1,ZEB1",15,"NGF,NTRK1,NTRK2,NTRK3,BDNF,GDNF,RET,SEMA3A,SEMA4D,CXCL12,CXCR4,NCAM1,L1CAM,FN1,TWIST2",侵袭/侵犯相关表型，选择EMT、基质重塑、胶原、MMP和缺氧相关基因。
包膜外侵犯标签（extracapsular_extension_label）,包膜外侵犯标签,extracapsular_extension_label,形态学-局部侵犯,11,"CDH1,VIM,SNAI1,SNAI2,TWIST1,ZEB1,ZEB2,MMP2,MMP9,COL1A1,COL3A1",14,"FN1,TWIST2,MMP14,ITGA5,ITGB1,TGFBI,TGFB1,LOX,CDH2,PECAM1,VWF,ENG,KDR,FLT4",侵袭/侵犯相关表型，选择EMT、基质重塑、胶原、MMP和缺氧相关基因。
