updated_at,processed,selected_total,correct,errors,accuracy,accuracy_scorable,supported_accuracy,unsupported_accuracy,json_parse_failures,answers_outside_choices,multifield_incomplete,structured_overrides,case_id,task,task_match,last_correct,last_error
2026-08-11T01:05:31+08:00,1,390,0,0,0.0,,,0.0,0,0,0,0,TCGA-LD-A74U,unrouted,none,False,
2026-08-11T01:06:17+08:00,2,390,0,0,0.0,0.0,0.0,0.0,0,0,0,1,TCGA-LD-A74U,histological_type_label,direct,False,
2026-08-11T01:06:37+08:00,3,390,0,0,0.0,0.0,0.0,0.0,0,0,0,2,TCGA-LD-A74U,histologic_grade_label,direct,False,
2026-08-11T01:06:53+08:00,4,390,1,0,0.25,0.3333333333333333,0.3333333333333333,0.0,0,0,0,2,TCGA-LD-A74U,histological_type_label+dcis_binary+lcis_binary,direct,True,
2026-08-11T01:06:56+08:00,5,390,1,0,0.2,0.3333333333333333,0.3333333333333333,0.0,0,0,0,2,TCGA-AR-A1AI,unrouted,none,False,
2026-08-11T01:06:58+08:00,6,390,1,0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0,0,0,2,TCGA-AR-A1AI,unrouted,none,False,
2026-08-11T01:07:01+08:00,7,390,1,0,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.0,0,0,0,2,TCGA-AR-A1AI,unrouted,none,False,
2026-08-11T01:07:03+08:00,8,390,1,0,0.125,0.3333333333333333,0.3333333333333333,0.0,0,0,0,2,TCGA-B6-A0WZ,unrouted,none,False,
2026-08-11T01:07:14+08:00,9,390,1,0,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.0,0,0,0,2,TCGA-B6-A0WZ,unrouted,none,False,
2026-08-11T01:07:16+08:00,10,390,1,0,0.1,0.3333333333333333,0.3333333333333333,0.0,0,0,0,2,TCGA-B6-A0WZ,unrouted,none,False,
2026-08-11T01:07:44+08:00,11,390,1,0,0.09090909090909091,0.25,0.25,0.0,0,0,0,2,TCGA-B6-A0WZ,histological_type_label,direct,False,
2026-08-11T01:07:46+08:00,12,390,1,0,0.08333333333333333,0.25,0.25,0.0,0,0,0,2,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-11T01:07:49+08:00,13,390,1,0,0.07692307692307693,0.25,0.25,0.0,0,0,0,2,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-11T01:07:52+08:00,14,390,1,0,0.07142857142857142,0.25,0.25,0.0,0,0,0,2,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-11T01:07:54+08:00,15,390,1,0,0.06666666666666667,0.25,0.25,0.0,0,0,0,2,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-11T01:08:14+08:00,16,390,1,0,0.0625,0.2,0.25,0.0,0,0,0,2,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-11T01:08:16+08:00,17,390,1,0,0.058823529411764705,0.2,0.25,0.0,0,0,0,2,TCGA-BH-A0AZ,unrouted,none,False,
2026-08-11T01:08:19+08:00,18,390,1,0,0.05555555555555555,0.2,0.25,0.0,0,0,0,2,TCGA-BH-A0AZ,unrouted,none,False,
2026-08-11T01:08:22+08:00,19,390,1,0,0.05263157894736842,0.2,0.25,0.0,0,0,0,2,TCGA-BH-A0AZ,unrouted,none,False,
2026-08-11T01:08:24+08:00,20,390,1,0,0.05,0.2,0.25,0.0,0,0,0,2,TCGA-BH-A0AZ,unrouted,none,False,
2026-08-11T01:08:27+08:00,21,390,1,0,0.047619047619047616,0.2,0.25,0.0,0,0,0,2,TCGA-EW-A1PF,unrouted,none,False,
2026-08-11T01:08:37+08:00,22,390,1,0,0.045454545454545456,0.2,0.25,0.0,0,0,0,2,TCGA-EW-A1PF,unrouted,none,False,
2026-08-11T01:08:39+08:00,23,390,1,0,0.043478260869565216,0.2,0.25,0.0,0,0,0,2,TCGA-EW-A1PF,unrouted,none,False,
2026-08-11T01:08:58+08:00,24,390,1,0,0.041666666666666664,0.16666666666666666,0.2,0.0,0,0,0,3,TCGA-EW-A1PF,histologic_grade_label,direct,False,
2026-08-11T01:09:00+08:00,25,390,1,0,0.04,0.16666666666666666,0.2,0.0,0,0,0,3,TCGA-BH-A0BV,unrouted,none,False,
2026-08-11T01:09:03+08:00,26,390,1,0,0.038461538461538464,0.16666666666666666,0.2,0.0,0,0,0,3,TCGA-BH-A0BV,unrouted,none,False,
2026-08-11T01:09:05+08:00,27,390,1,0,0.037037037037037035,0.16666666666666666,0.2,0.0,0,0,0,3,TCGA-BH-A0BV,unrouted,none,False,
2026-08-11T01:09:16+08:00,28,390,1,0,0.03571428571428571,0.16666666666666666,0.2,0.0,0,0,0,3,TCGA-BH-A0BV,unrouted,none,False,
